"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sym","KO","bnum"
"17060_metL",4022.35316123263,-3.41825873087955,0.351678469620147,-9.7198407811876,2.48169241138285e-22,2.80227635783897e-21,metL,K00928,b4024
"17061_metF",9300.00272028781,-5.20422664421929,0.565817914796805,-9.19770567195317,3.65673798330464e-20,3.35134008579788e-19,metF,K00297,b3941
"17062_katG",7308.93248138414,0.7463773714779,0.373691240833723,1.99731031910915,0.0457914830719049,0.0631241270776342,katG,K03782,b3942
"17065_gldA_1",708.846919493435,-2.6576428117172,0.42296287413937,-6.28339500748115,3.31257955252848e-10,1.25386899250019e-09,gldA,K00005,b3945
"17066_fsaB",253.084880799995,-1.28135018939452,0.52658263765624,-2.43333163261453,0.0149605913989645,0.0222276720191266,talC,K08314,b3946
"17069_fryB_2",51.2719601476579,-3.54672262442644,0.596159237819732,-5.94928737059829,2.69312445075767e-09,9.18010541661537e-09,frwB,K11202,b3953
"17070_hpdB",234.194581734904,-2.04467344650076,0.511412985967347,-3.99808667868146,6.38565685109282e-05,0.000134259776818775,pflD,K00656,b3951
"17071_bssD_1",83.3909330866823,-1.48436399803483,0.439828196917775,-3.37487229885884,0.000738499507193589,0.00136464236853645,pflC,K04069,b3952
"17072_manP_3",24.4970077075506,-1.52664771078725,0.444475014956658,-3.43472109660904,0.000593163973267848,0.00110670862126484,frwD,K11202,b3953
"17073_btr",138.974682692606,-1.03112916264557,0.202138789895045,-5.10109496144189,3.37694063796243e-07,9.2339950559366e-07,yijO,NA,b3954
"17074_eptC",1514.19953719578,0.479895957448194,0.175311168698965,2.73739523277177,0.00619278418829719,0.00983143784208095,yijP,NA,b3955
"17075_ppc",3524.14161408256,-1.19311641614562,0.137678678877643,-8.66594904797097,4.47767190049976e-18,3.35423206438635e-17,ppc,K01595,b3956
"17076_argE_2",883.042932320496,-2.23468286870704,0.186750187689858,-11.9661613000264,5.34445708835851e-33,1.61106405241843e-31,argE,K01438,b3957
"17077_argC",1336.54938155561,-3.02801606372033,0.296177421990429,-10.2236559538228,1.55368193105236e-24,2.27328198332925e-23,argC,K00145,b3958
"17078_argB",1359.35356031221,-3.01943980468417,0.330826689823742,-9.12695347008692,7.04539847601958e-20,6.29556678107178e-19,argB,K00930,b3959
"17079_argH",2662.41530751,-2.49387813309682,0.284197163457966,-8.77516898040989,1.70647428785082e-18,1.34264109062979e-17,argH,K01755,b3960
"17080_rspA_1",329.027791728803,-2.70853782358088,0.549827962094475,-4.9261551072506,8.38634353737716e-07,2.2040579338779e-06,rspA,K08323,b1581
"17082_oxyR_1",2566.67154106907,-0.325095760536192,0.207567819334645,-1.5662146549416,0.117298372992038,0.150041170360982,oxyR,NA,NA
"17083_sthA",1748.77070333487,-1.40093670711053,0.314816849208925,-4.45000548932124,8.58680945983576e-06,1.99112115556154e-05,sthA,K00322,b3962
"17084_fabR",531.867204870883,-0.750722313152973,0.201059762701036,-3.73382671434489,0.000188592274444742,0.000373305277421475,yijC,NA,b3963
