"","UR1","UTI1","UR3","UTI3","UR6","UTI6","UR7","UTI7","UR14","UTI14","UR17","UTI17","UR43","UTI43","UR54","UTI54","UR56","UTI56","UR57","UTI57","UR66","UTI66","UR68","UTI68","UR86","UTI86"
"14828_aroG_1",0.194067407447283,0.744069330871391,0.529119403602546,0.873310232311131,0.290044003390697,0.912110348050139,0.539519598887232,0.777522577069992,0.587668837376156,0.787045902067704,0.243324796164881,0.266092636693748,0.513053826496606,0.703707886052397,0.346965674742051,0.838626995379804,0.102870756385308,0.683320289018898,-0.104885296203338,0.514196937707915,0.254692212672215,0.464504730581609,0.405035197751038,0.336345010586408,0.349094473663316,0.524515468357772
"14829_hypothetical_protein",0.0817416989734845,-0.485815023776193,0.0275543566677264,-0.58410053060417,-0.000500924935943412,0.0807365376393025,0.0998497266794454,-0.0165312751168444,-0.212477393761833,-0.882146032521819,-0.0636604370027429,0.0315635097463821,-0.450045188289223,0.379069450959513,-0.268169118290482,-0.254692212672216,0.00150277531061042,0.112947796720368,-0.328933126416804,-0.110931503650438,-0.0195373145341227,0.234047578990546,-0.708850482913353,-0.493721615077317,0.35655781673343,0.285866965613751
"14830_hypothetical_protein",-0.462273930503877,-0.110931503650438,-0.01753327031675,0.000500924935943272,-0.350159466072567,-0.327875768882702,0.297366062844941,0.209404226231609,-0.0827469429021428,-0.218629784653732,-0.145276705293656,-0.0145273335016775,-0.218629784653732,0.180812452965469,-0.0797314578706269,-0.0325658747738837,0.062656586948454,0.0486088523041599,0.0435942718680027,0.158451900724781,0.0375782109208497,0.0998497266794454,-0.318375869438639,0.264017301796483,0.020539365565132,0.0435942718680027
"14831_ydiV",-0.0325658747738837,-0.639677795046933,0.491459459436842,-0.354423423816718,-0.0305611764308685,-0.868917811892115,0.569900767951198,-0.148314814297537,0.338466072185236,-0.198152615750505,-0.0877744375180701,-0.328933126416804,-0.299460994196955,-0.50052332756835,0.0747072465360801,-0.471211078736582,0.111939593299958,-0.341650525424258,-0.286910754708412,-0.947615289360821,0.218629784653732,0.0445970962266662,-0.172671467816683,-0.663212847139889,-0.154395170391804,-0.419213711682226
"14832_mepS_1",0.0255499502269242,-0.497119596517209,0.230959683601669,-0.546485555304716,0.00651206992091593,-0.831527924941135,0.301557240631128,-0.421402449212277,0.206333035122841,-0.366182878703395,0.0105196172325792,-0.461159393250013,0.0225435305066765,-0.15642321377467,-0.00250462719362193,-0.623777404224655,0.0827469429021428,-0.458932034438445,0.0305611764308685,-0.510769611848831,-0.01753327031675,-0.663212847139889,0.299460994196955,-0.215552569320788,-0.104885296203338,-0.338466072185236
"14833_btuD",-0.112947796720367,-0.12404584433273,-0.0797314578706269,-0.0988429206137481,0.0345707040018158,-0.296319086938171,0.0476058424622373,-0.141227973204801,-0.00350648159055285,0.0335682725225569,-0.0817416989734845,0.0115215279451597,-0.282737461195489,-0.150340979369616,-0.251588804729625,-0.22993087578082,-0.0355731702213115,-0.101863643523431,-0.296319086938171,-0.277527751079782,-0.303654813022629,0.302605860400802,-0.0716936327910214,-0.12404584433273,-0.152367761831973,-0.00851582648074538
"14835_btuC",-0.19202602145353,0.0716936327910213,-0.0817416989734845,0.00450833950699534,0.0566347768217647,-0.0837522704548344,-0.107907906832167,0.0887801986553809,0.01753327031675,-0.0225435305066764,-0.0978362147310686,0.165557499833962,-0.0275543566677264,-0.0375782109208497,-0.076716697676594,0.0405860577776668,-0.0325658747738837,0.00150277531061042,-0.158451900724781,-0.123036319898809,-0.0385807874214465,0.159466488275284,0.377993191955126,0.0215414372202768,0.127075180495456,0.193046613891029
"14836_ihfA",0.806310307226292,0.721789898287201,0.9060524840774,0.562843924720184,0.587668837376156,0.458932034438445,1.00572398675281,0.39418393733994,0.901530819295147,1.03780572364655,0.855839919785355,0.615280785617414,0.860182863490426,1.01239146152853,0.897027512004271,0.581725787340099,0.841478479784351,0.692204436771386,0.999100924499316,0.516485179314535,0.98273189536729,0.203263788963743,1.03437854037983,0.652019660807654,0.656984244633375,0.971428520096626
"14838_pheS",1.01072038038372,1.70001184752272,0.870380085938585,1.43153069100622,1.04124514010817,1.56023212764679,0.778878722288344,1.42320664800711,0.82870000905482,1.41225904367471,1.39349808199716,1.65896769498918,0.889562146972287,1.34243054965433,0.947615289360821,1.46880203921613,0.867457393448666,1.59858848344773,0.677007368917846,1.57391287085876,0.851513058531672,1.1109572972803,2.03385292145811,1.6791362151925,0.825878704893861,1.38039185324106
"14839_rplT",1.09805092186085,1.53371443872806,1.1905941491015,1.60946826501715,1.06390860623682,1.5240428734137,1.22593318124965,1.62427773559839,1.30396298546211,1.66294751679036,1.327774546921,1.57391287085876,1.46002001822374,1.60219402997842,1.33506670210165,1.45711755669697,1.32295206597073,1.54353163276579,1.33019740967933,1.50201387634077,1.49279213496691,1.33751326314821,1.26287336821314,1.62803631281868,1.43995512354203,1.5568571855548
