"","K-statistic","P-value"
"16556_ugpQ","0.432528284883871","0.044"
"16583_nikA","0.921385976703259","0.029"
"16584_nikB","0.521209430385789","0.022"
"16591_yhhJ","2.56786022995305","0.001"
"16597_anaerobic_glycerol-3-phosphate_dehydrogenase_subunit_B","0.520008973480709","0.021"
"16604_rlmJ","0.436155871919659","0.046"
"16619_gadE","0.504597913337454","0.046"
"16621_mdtE","0.585568920550548","0.024"
"16623_hypothetical_protein","0.69936322505794","0.009"
"16630_degU","0.515645045218777","0.023"
"16631_dmlR_4","0.484757898457996","0.033"
"16637_Peptidase_M16_inactive_domain_protein","0.476191054482219","0.035"
"16645_hypothetical_protein","0.555098060449866","0.007"
"16654_oppF_1","0.628607326474879","0.009"
"16659_eptB","0.583734016607484","0.017"
"16667_tag","0.441590871945203","0.047"
"16668_yjaB_1","0.425356594415833","0.04"
"16671_ghrB","0.761844098414102","0.001"
"16679_yiaA","0.95132296707336","0.002"
"16680_yiaB","0.672178718099601","0.009"
"16683_xylF","0.804615965930288","0.008"
"16684_xylG","1.07846545475702","0.002"
"16686_xylR","1.30879403795704","0.002"
"16719_hypothetical_protein","0.417768897997125","0.042"
"16730_molybdopterin_biosynthesis_protein_MoeB","0.710735301055927","0.006"
"16752_rpmG","0.562467196568773","0.048"
"16763_hypothetical_protein","0.739536872860767","0.01"
"16784_nepI","0.761528360806115","0.001"
"16801_Arylsulfatase","0.604986723205139","0.01"
"16837_yieH","0.487848753698225","0.02"
"16847_pstB","0.534468347044173","0.015"
"16858_atpC","1.02764117053252","0.001"
"16859_atpD","1.15000991294437","0.001"
"16860_atpG","0.916299289254171","0.005"
"16861_atpA","0.722256685357374","0.006"
"16873_ravA","1.0295610284245","0.002"
"16875_potassium_transport_protein_Kup","0.468800927393958","0.036"
"16899_rhlB","0.697697518280249","0.007"
"16901_hypothetical_protein","0.856752402452094","0.002"
"16909_rmlA2","0.805072549321913","0.008"
"16912_Polysaccharide_biosynthesis_protein","1.63568632945923","0.001"
"16922_hemC","0.493476871835833","0.037"
"16941_rhtB","0.644238096968259","0.006"
"16942_lysophospholipase_L2","1.00858838707638","0.002"
"16943_yigL","0.48200388907781","0.025"
"16949_rmuC","0.553006511734221","0.016"
"16950_ubiE","0.615614272686494","0.008"
"16954_tatB","0.462291913550824","0.044"
"16966_mobB","0.423614031324839","0.049"
"16968_hypothetical_protein","1.76814327013966","0.002"
"16974_polA","0.82594233206482","0.004"
"16975_engB","0.416326945659302","0.045"
"16978_hypothetical_protein","0.728582896711153","0.005"
"17036_hypothetical_protein","0.577959134205527","0.016"
"17038_uspD","0.897262148989621","0.002"
"17039_fpr","1.7509623717325","0.001"
"17040_glpX","0.592408746824713","0.012"
"17044_rraA","0.517542924113732","0.028"
"17078_argB","0.550567224281596","0.014"
"17079_argH","0.439768940778985","0.044"
"17082_oxyR_1","0.963210544979832","0.001"
"17085_yijD","0.621428450928046","0.004"
"17088_murI","0.826406670427098","0.005"
"17100_rpoC","0.460008571200162","0.04"
"17109_nudC","0.721080122888345","0.006"
"17110_hemE","0.693131762786543","0.007"
"17111_nfi","0.537568933365843","0.014"
"17114_hypothetical_protein","0.653359048830652","0.011"
"17121_yjaB_2","0.611096936789833","0.027"
"17127_iclR","0.488619608683099","0.035"
"17130_pepE","0.849672973790803","0.001"
"17141_hypothetical_protein","0.74766362634176","0.017"
"17158_lexA_1","0.524498115015115","0.015"
"17166_dnaB","0.686900120701349","0.011"
"17175_hypothetical_protein","0.85607328518027","0.011"
"17185_nrfA","0.705534632565681","0.013"
"17193_Sel1_repeat_protein","2.1416417986477","0.001"
"17197_mdtO","0.564690821229239","0.014"
"17204_aminoalkylphosphonic_acid_N-acetyltransferase","0.423063124003866","0.043"
"17205_phnN","0.969108844683705","0.003"
"17211_phnH","0.522478977810503","0.011"
"17212_phnG","0.608082107512072","0.005"
"17213_phnF","0.730421855316372","0.003"
"17218_hypothetical_protein","0.491073945253627","0.031"
"17275_orn","0.677578918396197","0.004"
"17278_tsaE","0.809003042139805","0.001"
"17280_mutL","0.98594927607486","0.001"
"17283_hflX","0.453425304723743","0.04"
"17285_hflC","0.462580966337281","0.028"
"17290_rlmB_2","0.800493556332229","0.007"
"17300_esterase","0.426695936479695","0.048"
"17331_cpdB","0.773144100062295","0.001"
"17339_ytfP","0.5559603928266","0.019"
"17343_ytfQ","0.6275525984283","0.007"
"17344_rbsA_2","0.725991783660112","0.007"
"17349_hypothetical_protein","0.43593843259961","0.033"
"17353_nrdD","0.545590264263901","0.015"
"17355_treB","0.532447590551599","0.042"
"17359_pyrI","0.425254061302064","0.047"
"17366_argI","0.522609212664897","0.022"
"17368_Acetyltransferase_-GNAT-_family_protein","0.989507577027972","0.002"
"17371_holC","0.40085094996061","0.047"
"17374_lptG_2","0.751980076615677","0.005"
"17375_AAA-like_domain_protein","0.480729032682127","0.033"
"17435_nanS","0.552126936411032","0.025"
"17448_uxuA","0.67137162917753","0.005"
"17451_pdhR_2","0.679522175453929","0.002"
"17461_SdiA-regulated","0.445710430856603","0.043"
"17464_fldC","1.05014872235333","0.003"
"17480_yjiA","0.529458982003661","0.034"
"17487_ttuB","0.849897755702902","0.006"
"17498_yjjM","1.48678454333381","0.001"
"17499_yjjN","2.37474825206482","0.001"
"17506_yjjQ","0.473010764678434","0.03"
"17507_bglJ","0.594817575944167","0.004"
"17533_Patatin-like_phospholipase","0.774980266902451","0.004"
"17549_trpR","0.437719919604628","0.047"
"17550_yjjX","1.81591381241726","0.001"
"17557_arcA","1.30234553632776","0.001"
"17563_hypothetical_protein","0.462995074967738","0.03"
"17567_yaaH","0.582584064830495","0.011"
"17568_hypothetical_protein","1.31993169803877","0.002"
"17573_nhaA","0.961472628615253","0.002"
"17583_lspA","0.599892234318054","0.011"
"17587_rihC","1.19961351556241","0.002"
"17593_dapH_1","0.487899048010413","0.034"
"17596_caiB","0.967110780306643","0.002"
"17600_etfA_3","0.612924409689278","0.014"
"17602_hypothetical_protein","0.810531385587115","0.004"
"17610_pdxA","0.649471009209","0.008"
"17617_araD","0.843605345568966","0.003"
"17618_araA","0.706119752136859","0.009"
"17642_murF","0.621966969151062","0.012"
"17659_guaC","0.636896180849356","0.014"
