"","log2FoldChange","symbol","bnum"
"18463_msbA",1.53746809825767,"msbA","b0914"
"18509_yccS_2",1.53240014162086,"yccS","b0960"
"14872_xthA",1.52077682681026,"xthA","b1749"
"15088_dcm",1.52040495060371,"dcm","b1961"
"17988_tgt",1.5014663381256,"tgt","b0406"
"18634_rpmF",1.49989502746996,"rpmF","b1089"
"15550_gltX",1.49837968524041,"gltX","b2400"
"16897_rep",1.49113354930556,"rep","b3778"
"16740_rfaC",1.49022789078215,"waaC","b3621"
"16055_pgk",1.47956397050349,"pgk","b2926"
"18055_dnaX",1.4664097606119,"dnaX","b0470"
"18726_ychF",1.42554037527149,"ychF","b1203"
"15713_rnc",1.41925836489716,"rnc","b2567"
"17114_hypothetical_protein",1.41536086677535,"yjaH","b1316"
"15882_pyrG",1.31338948636159,"pyrG","b2780"
"16410_fmt",1.29601119776049,"fmt","b3288"
"15620_gcvR",-1.37676213038392,"gcvR","b2479"
"16339_hpf",-1.41522630538255,"yhbH","b3203"
"18264_LamB-YcsF_family_protein",-1.41949936941014,"ybgL","b0713"
"15266_dld",-1.42299505360612,"dld","b2133"
"15410_hypothetical_protein",-1.43947816753639,"yfbU","b2294"
"14974_ybbH",-1.45472672139683,"yebK","b1853"
"16045_iciA",-1.46421022217487,"argP","b2916"
"18420_ltaE",-1.47610353612441,"ltaE","b0870"
"17249_dcuA",-1.48580918783708,"dcuA","b4138"
"18632_yceF",-1.51032996322319,"yceF","b1087"
"17246_yjdC",-1.52713627135161,"yjdC","b4135"
"14961_exoX",-1.5311280144974,"exoX","b1844"
"14856_hypothetical_protein",-1.54108682938227,"chbG","b1733"
"16052_argO",-1.55128259300734,"argO","b2923"
"16941_rhtB",-1.56214862480971,"rhtB","b3824"
"17172_hypothetical_protein",-1.56929361013769,"yjbR","b1316"
"18313_pgl",-1.57578302606607,"ybhE","b0767"
"17250_aspA",-1.58091899144998,"aspA","b4139"
"16940_rhtC_1",-1.6032386071959,"rhtC","b3823"
"18021_transcriptional_regulator_BolA",-1.63191005525138,"bolA","b0435"
"16646_hypothetical_protein",-1.65652295513057,"bcsE","b1316"
"16051_26_kDa_periplasmic_immunogenic_protein_precursor",-1.66648595518345,"yggE","b2922"
"15848_rpoS",-1.67035302167154,"rpoS","b2741"
"18213_rihA",-1.67387333899897,"rihA","b0651"
"18278_sucB",-1.68097734117453,"sucB","b0727"
"19127_malX",-1.68213744956766,"malX","b1621"
"18388_gstB_1",-1.6866870592388,"yliJ","b0838"
"18263_kipA",-1.69064154043133,"ybgK","b0712"
"18444_dmsB_1",-1.69285366244086,"dmsB_2","b0895"
"18364_mntS",-1.69677459139584,NA,"b0026"
"19128_patB",-1.70460150560808,"malY","b3008"
"15424_hisQ",-1.70508239674988,"hisQ","b2308"
"16575_YhhN-like_protein",-1.71733846446898,"yhhN","b3468"
"18262_kipI",-1.71843642266804,"ybgJ","b0711"
"19044_eamA",-1.7237759399905,"eamA","b1533"
"15332_napC",-1.72454717425137,"napC","b2202"
"15285_folE",-1.72844967157756,"folE","b2153"
"15595_eutD",-1.73385366052017,"eutD","b2458"
"16636_kdgK_3",-1.74698292181112,"kdgK","b3526"
"17353_nrdD",-1.75988644463895,"nrdD","b4238"
"15942_Aspartate_racemase",-1.76710722044493,"ygeA","b2840"
"17375_AAA-like_domain_protein",-1.77447225313283,"yjgR","b4263"
"16467_crp",-1.7766305390855,"crp","b3357"
"15531_hypothetical_protein",-1.78132443661161,"yfdY","b1316"
"16880_rbsK_1",-1.78370751713745,"rbsK","b3752"
"16178_zupT",-1.79811254454902,"ygiE","b3040"
"18277_sucA",-1.8014149755515,"sucA","b0726"
"17132_hypothetical_protein",-1.8094308275357,"yjbD","b1316"
"18217_gltI",-1.81099057636992,"gltI","b0655"
"16542_asd",-1.8156146543909,"asd","b3433"
"19113_ydgC",-1.82809775607173,"ydgC","b1607"
"15103_yhjE_1",-1.83669034171935,"shiA","b1981"
"15263_yehY",-1.83982645534451,"yehY","b2130"
"15261_yehW",-1.84328251367643,"yehW","b2130"
"16205_mug",-1.85782026758544,"mug","b3068"
"15936_yhdN",-1.8643229026834,"tas","b0009"
"14846_pfkB",-1.86839869111674,"pfkB","b3916"
"18445_dmsC_1",-1.86922947028421,"dmsC","b0896"
"16724_lldD",-1.87364676453969,"lldD","b3605"
"18682_icd",-1.87612990658556,"icdA","b1136"
"14975_pykA",-1.8841015102357,"pykA","b1854"
"17592_DNA-binding_transcriptional_activator_CaiF",-1.88961003580961,"caiF","b0034"
"15935_ygdR_2",-1.89613788629964,NA,"b0026"
"18517_yccX",-1.8974998551763,"yccX","b0968"
"17457_yjiG",-1.89900885610398,"yjiG","b4329"
"18101_hypothetical_protein",-1.9047287386118,"ylbA","b1316"
"15279_preA",-1.90583111252967,"yeiA","b2147"
"16253_tdcD",-1.91226526747156,"tdcD","b3115"
"18614_yceM",-1.9247197538045,"mviM","b1068"
"17843_crl",-1.93369531160086,"crl","b0240"
"18075_ybbJ",-1.94012108424177,"ybbJ","b0488"
"18074_cueR",-1.94878120270033,"cueR","b0487"
"16248_Serine_dehydratase_alpha_chain",-1.95140839200032,"yhaM","b4470"
"17160_hypothetical_protein",-1.9549600605325,"yjbJ","b1316"
