,HM01_UR,HM01_UTI,HM03_UR,HM03_UTI,HM06_UR,HM06_UTI,HM07_UR,HM07_UTI,HM14_UR,HM14_UTI,HM17_UR,HM17_UTI,HM43_UR,HM43_UTI,HM54_UR,HM54_UTI,HM56_UR,HM56_UTI,HM57_UR,HM57_UTI,HM60_UR,HM60_UTI,HM66_UR,HM66_UTI,HM68_UR,HM68_UTI,HM86_UR,HM86_UTI
b3459,475.0,57.0,912.0,228.0,532.0,69.0,719.0,42.0,369.0,213.0,459.0,50.0,453.0,67.0,333.0,194.0,262.0,288.0,490.0,34.0,145.0,19.0,333.0,2.0,349.0,75.0,375.0,193.0
b4311,300.0,4.0,37511.0,22.0,50667.0,37.0,14785.0,5.0,30878.0,22.0,5256.0,4.0,1051.0,56.0,53490.0,6.0,10247.0,53.0,2596.0,13.0,23236.0,8.0,20024.0,2.0,129.0,6.0,3874.0,12.0
b2279,115.0,43.0,240.0,113.0,150.0,90.0,205.0,30.0,245.0,300.0,131.0,15.0,291.0,47.0,203.0,155.0,131.0,172.0,223.0,9.0,258.0,13.0,144.0,1.0,383.0,25.0,134.0,46.0
b0434,4620.0,751.0,7602.0,1384.0,6340.0,1190.0,5907.0,424.0,6222.0,3166.0,1877.0,306.0,2246.0,1407.0,2661.0,1442.0,1842.0,2681.0,1533.0,144.0,2178.0,182.0,1674.0,19.0,3922.0,279.0,1616.0,1295.0
b3149,1084.0,276.0,1477.0,424.0,1834.0,417.0,1626.0,124.0,1564.0,439.0,1515.0,139.0,1496.0,447.0,1497.0,446.0,1214.0,853.0,1554.0,66.0,951.0,26.0,1158.0,9.0,2549.0,147.0,1129.0,383.0
b1630,169.0,132.0,493.0,711.0,262.0,288.0,258.0,142.0,301.0,598.0,502.0,135.0,544.0,597.0,346.0,254.0,708.0,736.0,318.0,67.0,276.0,31.0,114.0,2.0,784.0,93.0,147.0,504.0
b3981,3778.0,2300.0,8525.0,6493.0,15268.0,3154.0,11375.0,1643.0,8108.0,9036.0,9256.0,1540.0,7837.0,5825.0,7980.0,4904.0,6025.0,13304.0,6019.0,810.0,3174.0,419.0,5488.0,53.0,5975.0,1982.0,5731.0,7221.0
b3238,1071.0,1581.0,4456.0,1565.0,1996.0,6163.0,4016.0,95.0,1539.0,5454.0,3881.0,482.0,3669.0,624.0,976.0,12634.0,2032.0,1522.0,6221.0,632.0,1504.0,314.0,4042.0,24.0,5904.0,8014.0,918.0,182.0
b1091,1634.0,1393.0,1634.0,2487.0,2847.0,2264.0,1733.0,730.0,1692.0,2449.0,2260.0,736.0,2185.0,2593.0,1702.0,2288.0,2516.0,7665.0,1659.0,366.0,953.0,304.0,1853.0,21.0,3161.0,791.0,1946.0,2612.0
b3410,156.0,2.0,1176.0,25.0,320.0,13.0,681.0,4.0,364.0,24.0,414.0,3.0,202.0,13.0,132.0,13.0,148.0,23.0,151.0,5.0,56.0,3.0,325.0,1.0,145.0,11.0,76.0,1.0
b0920,353.0,78.0,586.0,266.0,674.0,112.0,515.0,72.0,410.0,266.0,429.0,88.0,273.0,256.0,277.0,160.0,339.0,439.0,267.0,31.0,175.0,20.0,191.0,2.0,303.0,55.0,428.0,204.0
b2764,88.0,7.0,120.0,24.0,175.0,113.0,119.0,21.0,106.0,27.0,174.0,17.0,174.0,71.0,150.0,89.0,100.0,93.0,144.0,10.0,65.0,9.0,99.0,3.0,156.0,20.0,158.0,35.0
b3070,1327.0,19.0,1741.0,58.0,1658.0,156.0,1736.0,46.0,1005.0,38.0,1781.0,23.0,1466.0,185.0,1549.0,68.0,1265.0,251.0,1980.0,25.0,1321.0,9.0,1136.0,0.0,668.0,33.0,1407.0,189.0
b2818,8325.0,397.0,18578.0,194.0,24477.0,210.0,3323.0,16.0,31834.0,660.0,11231.0,85.0,7539.0,625.0,18726.0,140.0,17952.0,317.0,3432.0,23.0,5135.0,13.0,13975.0,4.0,9562.0,87.0,6070.0,358.0
b3803,4254.0,735.0,4973.0,965.0,4521.0,746.0,5201.0,343.0,3910.0,1362.0,3068.0,179.0,3302.0,693.0,3411.0,897.0,2511.0,1464.0,3502.0,96.0,2144.0,59.0,2441.0,10.0,4206.0,253.0,2208.0,592.0
b4331,297.0,14.0,600.0,21.0,277.0,40.0,180.0,0.0,592.0,88.0,151.0,3.0,180.0,19.0,313.0,18.0,323.0,40.0,114.0,9.0,81.0,5.0,142.0,1.0,246.0,9.0,222.0,20.0
b1194,55.0,0.0,746.0,3.0,41.0,2.0,1241.0,12.0,35.0,12.0,61.0,1.0,237.0,46.0,24.0,3.0,35.0,8.0,15.0,2.0,54.0,2.0,19.0,1.0,50.0,2.0,12.0,6.0
b3447,594.0,26.0,1246.0,57.0,903.0,75.0,1676.0,25.0,628.0,57.0,1117.0,23.0,1376.0,228.0,934.0,81.0,1352.0,231.0,1678.0,41.0,386.0,16.0,1000.0,2.0,315.0,38.0,255.0,84.0
b1663,882.0,41.0,1550.0,122.0,1604.0,71.0,2212.0,50.0,1336.0,176.0,774.0,22.0,1597.0,209.0,624.0,141.0,686.0,246.0,879.0,18.0,348.0,13.0,723.0,2.0,504.0,59.0,744.0,150.0
