,HM01_UR,HM01_UTI,HM03_UR,HM03_UTI,HM06_UR,HM06_UTI,HM07_UR,HM07_UTI,HM14_UR,HM14_UTI,HM17_UR,HM17_UTI,HM43_UR,HM43_UTI,HM54_UR,HM54_UTI,HM56_UR,HM56_UTI,HM57_UR,HM57_UTI,HM60_UR,HM60_UTI,HM66_UR,HM66_UTI,HM68_UR,HM68_UTI,HM86_UR,HM86_UTI
b2524,352.785113065359,1525.21165249055,371.47211492675,2871.31113515626,117.579241907853,263.727402852161,403.970375835176,1928.6611532152,469.451885772187,2614.1947961958,189.524170760151,308.981918103862,308.122678436147,468.937071400586,362.306926638868,315.075524978891,237.161598693977,423.211433144554,331.756621033631,206.737854093891,315.136064656974,552.851655921733,326.813758373792,767.130499675793,443.37783600555,480.484202232032,281.057254884526,367.667973742117
b1710,962.176616318435,629.093233519841,1146.27901572585,596.778028091099,192.629821849036,117.038788248001,1315.05250005919,741.1627786241,1271.03088331834,1153.9631755898,923.930332455734,576.766247127209,842.796436622773,775.021519678792,761.074825767877,362.101722736935,194.003215892776,92.238389275095,763.468050514675,373.718428554342,218.348388491761,85.0541009110359,747.936629878307,340.946888744797,879.269630267337,477.124172845794,702.143035334297,723.846323304793
b4217,308.005545733663,310.020766159059,237.80432461838,60.1150028296895,113.131800133561,120.159822601281,262.688183222608,24.5689318880917,172.432691332603,71.814669865869,137.040554241955,36.0478904454506,243.393798507439,44.1467954247413,155.055083010702,119.916804283011,126.542054426821,33.1575909158838,361.315241430532,127.22329482701,164.769496328875,85.0541009110359,163.406879186896,170.473444372398,302.504141372935,107.520940359616,58.0118177341727,17.8727487235751
b1057,47.8946676678137,61.0989831116393,83.6718919953558,46.9990022123027,156.494357432911,115.478271071361,102.066983256228,81.8964396269723,65.8661811937152,25.3463540703067,199.729318416466,97.844274066223,121.531774560024,347.288124007965,40.2989695943656,47.0261977580435,148.749765965303,62.0951248061097,166.07277512469,55.6601914868169,192.999235210395,63.7905756832769,110.182924251736,170.473444372398,660.813321199369,184.801616243089,85.5174209702029,57.4481208972058
b1887,52.9567057140054,13.5775518025865,419.136598292525,16.3950007717335,24.4609297586077,14.0446545897601,499.859620631158,233.404852936871,22.6803359770812,36.6114003237763,143.965475865884,41.1975890805149,242.733299732656,187.378620580569,39.9151698839431,11.7565494395109,89.6688730044364,21.1002851282897,70.0072588347639,47.7087355601288,80.0802796843134,42.527050455518,79.8359324027407,0,26.8816953526005,40.3203526348558,70.0142627826222,20.4259985412287
b3368,375.369590502214,280.602737253454,316.29529450876,243.739011473105,284.636273554708,168.535855077121,314.258869499439,266.16342878766,325.291942027452,325.278210568936,198.635909739004,391.377096264892,182.297661840036,193.264859970534,222.98763175549,268.049327220848,180.175772859382,214.017177729796,187.463881990868,254.44658965402,304.189839376384,329.584641030264,172.744415140433,170.473444372398,227.303449310597,332.642909237561,258.052568541665,370.221223559771
b1732,140.568902667323,20.3663277038798,365.773100611277,99.4630046818499,153.714706323978,154.491200487361,932.838507497052,188.361811142036,395.197087162291,35.9073349329345,193.533335910846,25.7484931753218,393.32702038312,64.7486332896206,406.060093627037,52.9044724777989,214.115860304986,56.6693372016924,329.811974954888,127.22329482701,96.7876761652133,85.0541009110359,168.542523961341,85.2367221861992,94.2560710464599,33.6002938623799,27.5056032360302,29.3623729030163
b1089,462.981787455532,1688.14227412159,286.764038510399,1571.73407398352,441.686561209405,742.806176080643,282.027190576419,1134.26568883357,301.990226982506,1083.55663650561,414.766358317406,1421.31682327777,488.108594564443,1011.45213517574,510.837414572387,1185.0601835027,469.714049710155,1698.27152018263,346.92486044783,1081.39800602959,517.929290907897,1233.28446321002,513.564477444531,340.946888744797,440.315364383102,1233.13078474934,539.109823426191,1359.60552790054
b0449,153.808079095824,171.982322832762,116.052655151453,180.345008489068,107.572497915695,385.447742630082,178.617220698399,233.404852936871,156.898214635973,150.669993640156,214.308100782632,154.490959051931,198.810131209604,158.928463529069,205.716644786476,347.993863409522,373.759975326903,265.260727327071,183.574589833381,278.300957434085,215.467802891606,265.794065346987,239.974674005899,85.2367221861992,192.595437589517,423.363702665986,159.032396891956,159.578113603349
b2280,893.64440892384,880.277941867692,368.622607769013,773.844036425821,581.225046877826,992.488924343045,322.85398387891,507.757925687228,362.574686099366,2706.42736239608,584.609172883234,746.706302084333,1050.52330129194,1011.45213517574,794.081600864214,1489.55481398603,609.664533745117,848.231462157246,956.765870741774,914.417431569135,702.862886437858,1020.64921093243,623.280524898589,255.710166558598,1091.60099609041,1186.09037334201,656.133662648574,751.932071298982
b2894,1056.408401486,1774.13343553797,773.252624167607,1297.39106106984,764.40405495649,1410.70752768257,786.990160370389,1216.16212846054,756.839704659859,1056.80215165362,782.151673944775,906.346959771329,709.705933504052,702.424567202551,748.025635613511,1300.2743680099,661.622198476659,1275.66295232746,714.074040114592,914.417431569135,330.115109777781,701.696332516046,697.980812526885,255.710166558598,989.178334050755,1112.16972684477,760.654954945489,810.656817105015
b4056,1210.99525566586,282.865662553886,1118.82012856948,326.807015383221,642.933301496132,221.593439082881,1815.18071801471,405.387376153513,1180.62022894395,425.255496068479,806.206664848948,180.239452227253,1424.69585720637,400.264278517655,1000.94964478196,332.710349138158,1195.02628882548,251.394825671337,1266.35352647773,333.961148920901,1429.92269191702,425.27050455518,1205.00901480394,340.946888744797,1233.83578922189,275.522409671515,1183.74114290333,278.304230124241
b1632,201.313359221623,796.549705751742,154.132432623024,1016.49004784748,137.870695003062,705.353763841283,161.695589263814,1113.79157892682,154.102008830579,1800.99926977346,219.41067461079,1163.83189152455,432.956946870085,1334.21426172552,370.366720557741,904.078651898386,558.544895864083,1090.58330848789,395.929941632165,818.999960448877,521.962110748114,637.905756832769,403.848429990472,426.183610930996,591.057023132494,1394.41219528876,521.106155853517,1211.51703847663
b2746,208.322334977889,644.933710622859,225.629157671687,703.892033133091,279.354936447736,422.900154869442,259.196418005947,454.525239929696,305.097122321832,685.055625289123,262.782552150132,442.874082615536,237.449309534394,304.122368481551,217.230636099152,376.209582064348,279.900968069923,528.712858786002,185.908165127873,421.427164114471,275.383983374833,425.27050455518,183.482581487,511.420333117195,358.309179826434,470.404114073318,191.038917021155,450.648592815859
b2141,63.8595568904182,651.722486524152,101.287027152273,1084.25605103731,78.9420914936885,191.943612726721,159.815407993304,282.542716713055,45.671361488095,4174.40370230134,90.7529202293798,499.520767601244,88.5068358208868,338.458764923017,64.8621510614076,671.298972996071,134.0842960814,384.025189334873,96.4544455056747,389.621340407718,58.7639462431652,893.068059565877,75.634041223649,426.183610930996,168.435939234649,1128.96987377596,125.025469254683,135.32224033564
b3352,796.297523420154,3208.82807601128,905.366137844485,2765.29013016572,1086.56561848179,2073.92732775457,1064.45119643271,2031.03170274891,1158.2505825008,1988.28066373739,1176.8722065087,2420.35835848025,780.049053018413,1398.96289501514,776.043014474355,2524.13116466298,723.217171989052,2709.2766104724,728.075491881545,2226.40765947268,816.357959083971,1977.50784618158,861.854568511458,1278.55083279299,1205.25272074571,2052.97795499141,1007.20518031572,1914.93736324019
b3284,1400.23760108502,803.338481653035,2100.8639135676,751.984035396843,1326.44950918268,926.947202924164,2348.07780954196,1171.1190866657,2611.03484316973,1591.89184869343,1599.6568951275,834.251178880428,1839.81933715732,1755.08037810805,2272.86188512222,1481.32522937837,2924.29469485029,1695.86005902511,74.2854802079995,397.572796334407,2326.93704780534,1222.65270059614,2643.92330524398,767.130499675793,1196.06530587836,1014.72887464387,2554.52038781167,962.575181255404
b0490,321.63410970418,97.3057879185366,413.178537871803,167.229007871682,303.53790109545,93.6310305984004,271.283297602079,221.120386992825,233.949219051262,206.291159516663,137.769493360263,36.0478904454506,265.190258075269,178.54926149562,232.582624516053,76.4175713568207,319.288230043834,195.931219048404,240.358255332689,198.786398167203,300.733136656198,265.794065346987,428.592900267345,170.473444372398,221.859055315133,188.161645629327,257.052364787627,127.66249088268
