"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","bnum"
"16440_rplB",12842.1850077722,2.59727833231723,0.479247924401086,3.33288523745479,0.000859503876832001,0.007466939929978,"rplB","b3317"
"16466_hypothetical_protein",231.118265124259,-1.62959574066388,0.195879104177894,-3.2142057383114,0.00130805911710718,0.0102433925226985,"yhfA","b3356"
"16474_putative_transporter",2091.91313220747,5.1990194025781,0.481787914664491,8.71549342515621,2.8949500653461e-18,2.39315872068611e-16,"tsgA","b3364"
"16540_glgX",892.739251726688,-2.1633813192355,0.305771203406151,-3.80474454845966,0.000141950609397368,0.00167924550691354,"glgX","b3431"
"16593_emrK_2",187.539585328352,-2.49917700203063,0.426190765280898,-3.51761962989164,0.000435436029154754,0.0046558160040393,"yhiI","b3487"
"16606_hypothetical_protein",226.767587550568,3.44884527306201,0.626437177630326,3.90916337744425,9.26163137709066e-05,0.00861331718069431,NA,"b0026"
"16625_gadX_1",685.399459974297,-3.43941689963271,0.4383553248574,-5.56493046006974,2.62256973072942e-08,6.07561987618982e-07,"gadX","b3515"
"16653_yhjV",650.244964731739,3.08526496332777,0.416119001784964,5.01122264155908,5.40852950401529e-07,1.03178101307369e-05,"yhjV","b3539"
"16665_yhjX",629.743656013549,4.25126471742799,0.71548082206811,4.54416752643369,5.51527826906348e-06,0.000116510253433966,"yhjX","b3547"
"16670_yiaD",1467.67293129812,4.12853699422966,0.465614444477185,6.71915794567442,1.82777704950542e-11,6.77496026350008e-10,"yiaD","b3552"
"16682_xylA_1",4562.89533982353,-4.23641890903607,0.682304803804581,-4.74336233746203,2.10199804329668e-06,3.47530343158384e-05,"xylA","b3565"
"16685_xylH",578.010629420733,-2.75070354780479,0.528402679257999,-3.31319960425483,0.000922351285220087,0.00777011082700558,"xylH","b3568"
"16695_siaT_1",25.1890152789534,-3.11206949669749,0.663923336782624,-3.18119484537566,0.00146668948390941,0.0411623008055893,"yiaN","b3578"
"16733_Divergent_polysaccharide_deacetylase",629.409057636656,2.09922071916452,0.285362361725188,3.85201717745489,0.000117148802940394,0.00141597248771433,"yibQ","b3614"
"16749_waaA",1498.15692494183,2.1591489882964,0.334516302329299,3.46514947171491,0.000529936855441802,0.00508008433837313,"waaA","b3633"
"16751_mutM",646.2874695603,2.05744556287423,0.397558757394327,2.65984723819171,0.00781760998509125,0.0472455559968558,"mutM","b3635"
"16756_coaBC",2314.2561721586,2.03863352380223,0.322224587335537,3.22332175949282,0.00126713130901271,0.0100646429687295,"dfp",NA
"16760_rph",630.546075204181,2.2583753730638,0.36475705936349,3.44989998345666,0.000560794280081108,0.00519669366208493,"rph","b0369"
"16782_nlpA",498.75744557113,-2.97943638237688,0.361561163342706,-5.47469303416494,4.38270661847026e-08,9.8810112852784e-07,"nlpA","b3661"
"16818_lutR_2",404.587513762388,-2.74445236388694,0.449394491299958,-3.88178403976601,0.000103692944315069,0.00128118393420397,"yidW",NA
"16867_rsmG",686.359075290071,2.36428517068292,0.395116189286207,3.45287084578224,0.000554654496125744,0.00519669366208493,"gidB","b3740"
"16891_ilvD_1",2879.58880425516,-2.60724212003132,0.429156355063771,-3.74512016673386,0.000180307451829361,0.00204593761667601,"ilvD","b3771"
"16902_hypothetical_protein",1065.18327078123,3.56817936185125,0.749867432367194,3.42484451384157,0.000615151365435537,0.0227606005211149,NA,"b0026"
"16906_wecB_2",1213.65223694082,2.08079948067762,0.357147067681278,3.02620286845568,0.0024764608623978,0.017429268854344,"rffE","b3786"
"16916_yifK",1518.40042742173,2.99223559630244,0.396113192764207,5.02946034793733,4.91862201424842e-07,1.05182839997005e-05,"yifK","b3795"
"16939_recQ",721.876795170499,1.79235031274156,0.293654145016743,2.69824324358296,0.00697064864759704,0.0425898972314721,"recQ","b3822"
"17149_lamB",3086.34907883097,-4.14681734576818,0.6097158502117,-5.16112111022793,2.4547530052862e-07,5.45937068375652e-06,"lamB","b4036"
"17163_dus",1477.47826677107,2.95454231060807,0.554701187128033,3.52359496601713,0.000425734501567074,0.00513922362605967,"yjbN","b4049"
"17259_entericidin_A",190.782455377944,3.66460424441146,0.33250360825771,8.01376038706391,1.11253358958192e-15,6.87298528675053e-14,"ecnA","b4410"
"17311_priB",16443.9276281118,3.2362182913237,0.353562838026765,6.32481146436102,2.53541955079221e-10,7.55977864894772e-09,"priB","b4201"
"17378_gno",901.788085293566,-3.74601750169201,0.699118513975251,-3.92782832495439,8.57163599745405e-05,0.00127851576477035,"idnO","b4266"
"17379_idnD",1946.42142537351,-3.71194983953227,0.692885675878296,-3.91399322275587,9.07821844807347e-05,0.00127851576477035,"idnD","b4267"
"17380_gntK_2",215.505520513271,-3.20951749125511,0.561102176456642,-3.93781664724277,8.22263857522349e-05,0.00127851576477035,"idnK","b4268"
"17436_nanM",5141.80413338371,-4.42644822621593,0.746618561157708,-4.58928883431838,4.44758665171126e-06,7.97696186564988e-05,"yjhT","b4310"
"17442_fimC_2",5078.59355481872,2.90927538407881,0.669124123288199,2.85339493470402,0.00432548284017581,0.028630576894497,"fimC","b4316"
"17447_gntP",1071.06661825366,-4.09934974720934,0.738950983355833,-4.19425620510594,2.73768414236059e-05,0.00135059084356456,"gntP","b4296"
"17458_hypothetical_protein",317.561072209846,-4.05624050686947,0.509466759508365,-5.9989007130097,1.98657771607327e-09,5.25970100065114e-08,"yjiH","b1316"
"17631_leuA",9375.21565191741,-4.96817676738299,0.522451962377596,-7.5952949804695,3.07092077430825e-14,1.42285995876282e-12,"leuA","b0074"
"17675_speD",4061.06177126878,1.99120180954638,0.345543557995177,2.86852926819784,0.00412385042195476,0.0279617174952055,"speD","b0120"
"17759_hypothetical_protein",992.957892526562,-1.7039998723186,0.25607384932432,-2.74920642688109,0.00597397504211954,0.0377446604933917,"yafD","b0209"
"17766_hypothetical_protein",1605.06400078424,4.38635141464507,0.6257859997197,5.41135694336703,6.25489523933954e-08,1.16341051451715e-05,"yafT","b0217"
"17781_2-oxoglutaramate_amidase",155.103324294709,-2.08059270039431,0.265585912033195,-4.06871242575265,4.72736500969165e-05,0.000611259289625246,"yafV","b0219"
"17871_yagU",1728.70192523511,-2.30024668308959,0.457937171704939,-2.83935605892978,0.00452046846440726,0.0295691819554169,"yagU","b0287"
"17934_lacA_2",1443.4286848877,-4.83453109575555,0.800604792445289,-4.78954302040053,1.67161558835282e-06,0.000179698675747928,"lacA","b0342"
"17935_lacY_2",1598.54184567091,-6.43430695949861,0.588464748595252,-9.23471961994507,2.58963341577776e-20,2.87967235834486e-18,"lacY","b0343"
"17967_phoA",277.440121208151,-1.97996430421713,0.354995023075268,-2.76050152964919,0.00577126877310825,0.0368830510097493,"phoA","b0383"
"17987_queA",1703.29233872571,3.25661595819482,0.352809244218552,6.39613614204772,1.59357931392154e-10,5.21194175611987e-09,"queA","b0405"
"17999_thiL",488.102943211902,1.97706212288422,0.31968090494448,3.05636685761355,0.00224036955455939,0.0161772139264288,"thiL","b0417"
"18005_thiI",1382.15248040073,2.40122983050951,0.460931872446622,3.03999335752548,0.00236583366408543,0.0168641476568141,"thiI","b0423"
"18065_fsr",466.918865285439,-1.95233174770175,0.310143552995579,-3.07061597284057,0.00213617708574877,0.0158361927956842,"fsr","b0479"
"18148_entF",7849.19412235779,-2.04112538851845,0.384407393046107,-2.70839064844305,0.00676103884314936,0.0417681955199005,"entF","b0586"
"18162_gldA_2",2324.54521153984,-3.36930264130955,0.693884928794202,-3.41454691259371,0.000638881904126074,0.00572932804345318,"ybdH","b0599"
"18178_citF",250.071864504352,-2.7277148804434,0.525512184073172,-3.28767806495392,0.00101017283524592,0.00838292681189151,"citF","b0615"
"18273_sdhC",490.238235215105,-2.63109851335496,0.433257046552451,-3.76473626068883,0.000166724963485073,0.00193123082703543,"sdhC","b0721"
"18320_bioA",396.596083272513,5.37936105054026,0.702705941861577,6.23213892135116,4.60109162636601e-10,1.27910347212975e-08,"bioA","b0774"
"18347_dinG_3",1841.61026609573,2.89880867594021,0.616356975683317,3.08069633483926,0.0020651715012031,0.0482733838406225,"dinG","b1808"
"18409_rlmC",538.24230372723,2.34765894353819,0.312778042711777,4.30867503311303,1.64235473146455e-05,0.000260899780198369,"rumB","b0859"
"18537_cspG_1",134.080839471963,4.07958335418294,0.754339024596292,4.08249242551262,4.45552646587865e-05,0.00316307600000256,"cspF","b3556"
"18585_curli_assembly_protein_CsgF",20.5448477478642,-2.56167806863918,0.488603970892612,-3.19620420969196,0.0013924851961535,0.0106057776583746,"csgF","b1037"
"18631_rluC",1933.389718456,3.26137474162354,0.349014445850414,6.47931559426844,9.21396005875482e-11,3.2018511204173e-09,"rluC","b1086"
"18643_tmk",1697.5066415006,2.77315754491961,0.59686864254731,2.97076679611136,0.00297057257713524,0.0239060364540884,"tmk","b1098"
"18646_ptsG_2",10195.7117951901,4.88877199497084,0.790647172069299,4.9184669626947,8.72246346319611e-07,0.000129092459255302,"ptsG","b4577"
"18654_ndh",6041.9301693606,2.43168946397061,0.467193847176707,3.06444417584356,0.00218074868812076,0.0159538982973045,"ndh","b1109"
"18673_pepT",566.557909428813,-2.16254269006436,0.358946671078627,-3.23876158698156,0.00120049877811487,0.0096735843569836,"pepT","b1127"
"18684_ycgE_2",545.567179023506,-1.80364784452754,0.279801987722812,-2.87220205641883,0.00407622248098259,0.0279617174952055,"ycgE",NA
"18687_ariR",130.358816729852,-2.53496355346873,0.383966723086658,-3.99764735112815,6.39751664349496e-05,0.000808413466768909,"ymgB","b1166"
"18729_dauA",2692.32615481697,3.85290189321215,0.698309446971782,4.08544078214001,4.39932200548093e-05,0.00274224405008312,"ychM","b1206"
"18731_ispE",3744.06933571712,2.31117704211942,0.355959126107867,3.68350449799141,0.000230049222641871,0.00316956706751023,"ipk","b1208"
"18784_Stress-induced_bacterial_acidophilic_repeat_motif_protein",23.2717366175426,-3.88277572925606,0.850702608301838,-3.38869976549222,0.000702248555533091,0.0435394104430517,"yciG","b1259"
"18792_rluB",1428.68675863509,3.88344245853067,0.597722578463005,4.82404808254894,1.40673481596882e-06,2.79337342028095e-05,"rluB","b1269"
"18813_rnb",3862.58408183617,2.19950610731544,0.337044471836719,3.55889565783042,0.000372417438919189,0.00406008031449155,"rnb","b1286"
"1885_atoD",8588.16006575802,-12.1416574806912,0.679894813899373,-16.3873252934391,2.35584899452013e-60,5.84250550640993e-58,"atoD","b2221"
