"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11","UR12","UTI12"
"18343_macA_1",690,68,737,73,1007,32,950,17,817,21,1363,50,557,95,798,293,1367,6,732,1,1979,13,665,129
"18366_ybiR",512,108,647,290,910,31,698,20,608,535,453,33,435,138,468,372,472,5,393,4,415,15,269,188
"18376_moeA",2504,377,2125,1498,1768,32,2543,970,1086,67,3655,208,1024,304,1440,1260,1664,9,751,5,1406,38,1073,455
"18381_gsiC",548,26,870,79,699,24,820,12,774,102,640,9,636,47,523,47,577,147,545,2,369,1,394,96
"18392_mdfA",651,268,1172,520,1836,66,622,585,1067,195,829,219,529,508,722,1050,607,24,589,7,1275,55,457,474
"18401_nfsA",1890,669,2072,1736,1320,508,1899,35,1622,80,1515,141,1157,541,1102,1625,1082,32,1055,6,1189,141,1020,438
"18405_potA_1",1713,21,1459,36,1692,20,3599,9,1539,473,569,17,2116,63,2820,89,2556,4,1035,2,1345,5,739,333
"18406_potH",537,5,631,26,559,6,776,311,232,3,236,14,642,23,1115,38,700,7,599,3,376,1,365,171
"18409_rlmC",882,660,1379,186,731,88,520,547,521,209,461,175,493,900,315,1397,443,41,459,11,363,119,440,528
"18417_amiD",862,66,1936,375,975,36,1221,421,823,43,1281,91,1115,256,969,435,1372,8,894,3,758,29,526,153
"18429_macB",1515,96,2059,267,1564,120,2427,463,1352,50,1591,195,1248,210,1221,365,1209,5,871,2,2414,24,797,204
"18432_clpA",31126,947,36647,2444,34786,1012,39252,357,34808,2829,36251,2192,25249,2305,33392,4659,39638,73,20018,20,30052,335,16521,1931
"18436_cydD",1047,418,2753,1013,2072,188,2193,1667,1773,129,1105,288,1407,729,1339,1353,828,37,1236,8,2110,38,1891,847
"18441_rarA",2172,797,2520,932,3686,344,1751,1423,2200,186,2407,318,2145,1232,2555,2549,2358,42,2717,8,2257,109,1709,694
"18443_dmsA",2298,109,2877,179,636,18,836,9,1151,338,1267,31,392,22,846,265,599,11,1180,10,1390,17,395,44
"18458_loiP_2",160,21,109,23,39,5,74,22,172,9,170,33,113,65,103,67,139,7,112,1,135,2,70,44
"18468_hypothetical_protein",741,49,925,74,551,40,726,7,673,110,528,11,985,16,509,74,1223,255,796,7,669,2,791,3
"18478_ompF",49687,153,49081,381,192922,170,61034,1883,53516,1224,29285,13173,233111,450,20525,4689,20941,32,23979,76,1591,85,51534,26420
"18479_asnS",7047,1301,11137,4085,11457,516,9998,6967,9582,935,7408,1265,6110,3149,4820,7153,4153,115,4180,25,3960,366,6130,4215
"18483_ssuC_2",26,1,24,7,14,0,33,0,22,4,22,0,366,68,21,3,13,0,323,1,40,0,34,5
"18485_ssuA",22,6,23,7,24,1,36,0,24,14,6,3,19,1,29,6,10,12,15,1,14,0,100,3
"18496_xylA_2",2587,440,3254,735,4298,183,3082,61,2219,1353,2529,159,1830,271,1375,1124,1402,33,1771,11,1954,60,2087,747
"18507_sulA",1070,216,1316,247,2533,112,1632,408,1028,36,1553,118,1222,396,642,493,949,13,1026,3,1129,53,1519,296
"18519_yccA",1060,584,1846,520,3855,286,1247,645,1578,201,2108,612,587,822,1067,1912,4725,43,957,8,12090,34,1105,656
"18522_hyaC",133,10,102,13,187,1,122,75,90,2,134,6,96,23,138,32,112,3,86,0,114,4,42,12
"18546_torD",846,128,336,297,270,48,218,27,631,1332,212,166,1661,82,735,197,332,232,1767,8,117,2,644,10
"18560_rutA",9,2,19,0,18,0,7,2,8,0,28,0,10,2,5,6,14,1,3,0,251,0,11,2
"18563_hypothetical_protein",59,6,84,8,69,3,208,1,69,29,49,5,88,12,70,36,83,3,28,1,43,2,53,19
"18564_putP",1778,111,2686,296,1991,43,2233,20,1726,482,1936,139,1273,262,5253,367,1407,1127,2424,18,1076,6,883,678
"18581_ycdX",3337,600,5797,1372,4572,284,4419,98,4722,2116,4219,219,5167,465,3387,920,3484,2036,3917,54,4352,107,3891,866
"18585_curli_assembly_protein_CsgF",41,1,183,3,360,1,92,4,142,0,76,4,44,2,230,3,63,1,104,0,72,1,28,5
"18591_hypothetical_protein",72,105,157,58,25,6,110,6,39,15,51,7,25,29,25,27,32,2,44,0,77,15,28,3
"18592_ymdB",263,38,965,87,588,14,825,6,518,130,441,24,515,34,546,103,581,3,625,0,609,11,471,75
"18593_ybhO_2",367,95,757,141,713,44,531,258,584,33,567,81,629,233,553,207,611,7,609,0,1292,25,439,130
"18612_ydaF",2715,81,2972,193,2884,51,2917,420,2132,61,2156,124,1365,124,1742,354,2208,8,1331,4,1851,19,1433,225
"18615_murJ",434,227,639,360,1046,91,454,428,450,86,353,98,376,327,222,641,336,15,408,4,487,22,342,307
"18618_flgA",95,5,633,79,128,5,115,96,91,1551,58,19,317,36,48,9,59,28,48,2,83,1,58,3
"18620_flgC_2",11,2,1611,183,16,2,18,4150,70,31,536,25,6,5,11,15,16,0,10,1,15,1,18,35
"18624_flgG_2",51,3,1302,186,74,8,108,157,41,2566,145,30,602,36,68,7,69,31,96,2,137,3,37,48
"18625_flgH_2",24,2,583,100,46,3,40,1243,101,12,178,41,36,5,51,15,24,4,36,0,79,2,34,17
"18628_flgK_2",177,16,2580,284,243,13,2712,188,251,2878,414,39,1061,131,243,54,173,97,267,4,231,0,344,11
"18630_rne",15369,3405,19397,9047,17029,1396,21351,10997,18288,1399,13330,1785,16183,7797,18787,15588,18084,261,9868,43,11378,448,12500,4890
"18631_rluC",1202,1200,2459,2469,3326,395,998,3137,884,1137,962,682,1059,2760,432,4278,443,109,906,17,1221,426,831,2349
"18645_ycfH",1106,244,1226,1080,995,141,1391,82,1849,1602,1353,244,1185,657,1152,1372,1312,27,876,7,1491,57,644,585
"18647_fhuE",2239,46,23084,504,12711,95,27470,232,25211,156,11488,116,5676,1824,8471,195,9977,1244,6406,17,9671,34,2674,44
"18648_hinT",1012,105,1634,445,1413,74,1632,512,1623,64,2178,113,1727,383,1418,799,1750,18,1150,1,1374,31,1205,298
"18654_ndh",2509,4032,6725,10745,6660,1096,5987,14924,6751,1077,7848,1721,4484,1788,8341,24367,7597,220,4209,19,3962,338,5870,2395
"18660_ycfT",42,6,57,9,53,0,33,0,32,3,26,1,63,1,43,4,44,6,34,1,43,0,135,2
"18673_pepT",3708,20,4362,81,3339,31,2081,170,3289,22,5141,132,2904,97,3126,275,3411,7,2126,3,1576,15,1748,166
"18676_phoP",1029,92,2877,420,3004,202,2870,716,1850,55,2907,232,2568,571,2375,1267,2579,11,2126,7,3967,32,1936,414
"18684_ycgE_2",2756,163,4320,230,1993,28,5136,35,2339,27,3210,125,2804,350,2014,271,2788,5,2357,7,2032,21,1971,153
"18685_ycgF",671,127,2308,228,627,33,2742,51,524,21,383,41,508,176,405,173,428,9,577,2,1425,11,295,50
"18686_ycgZ",1704,110,2368,291,2129,20,1729,21,2638,27,23767,195,3855,294,1017,158,5890,12,1230,2,2354,38,1267,101
"18687_ariR",625,14,646,38,618,11,559,7,674,7,9829,29,831,34,367,33,2348,1,325,1,966,4,265,11
"18688_hypothetical_protein",469,30,281,14,269,3,285,0,405,8,6680,17,676,42,164,13,1503,0,221,0,271,5,128,5
"18694_hypothetical_protein",209,124,57,34,134,7,85,14,62,97,141,27,849,377,72,447,101,4,585,8,3222,4,45,82
"18697_minD_2",6566,646,12090,1551,11145,197,14344,2822,12010,334,8627,791,10961,1385,10264,3586,9293,49,7326,9,10857,140,6797,1771
"18699_Fels-1_Prophage_Protein-like_protein",642,33,2104,271,932,24,1955,769,1092,37,1084,119,1135,220,1349,478,1154,7,1202,1,1025,28,797,361
"18723_dhaK",3612,91,2219,94,1332,71,1526,15,1015,25,834,311,873,32,955,302,862,7,2106,3,1672,18,876,154
"18730_prs",14003,3900,17594,10088,19400,1910,14070,11014,11621,2157,8688,3402,10986,7035,6828,16362,5377,345,6277,85,11329,687,8183,11100
"18751_narG",22595,425,8967,1162,8564,903,2469,104,6710,3259,41743,251,2955,798,7751,2130,11969,32,7682,8,656,2,10897,637
"18766_hypothetical_protein",9,2,9,2,5,1,9,0,5,0,1,0,0,13,1,11,0,0,1,0,2,0,2,2
"18769_oppB",1863,196,1289,195,1771,108,1411,7,1778,682,1450,48,2585,122,1064,330,1160,394,1207,4,1232,2,4375,13
"18771_oppD_2",1517,290,1086,254,1389,153,1962,711,2379,98,5195,206,2164,646,2435,705,2861,15,1617,1,7172,46,1390,474
"18774_cls",2446,266,3825,697,2637,114,4139,94,3230,725,2041,72,3221,199,2318,503,2536,1319,2568,18,1790,3,2218,404
"18789_trpE",292,255,530,92,862,114,305,103,1396,23,715,96,561,243,709,333,334,5,501,5,298,19,911,96
"18791_ywlC",995,414,1131,631,3004,221,1462,781,1708,113,3029,435,1658,690,1360,1240,474,5,1621,5,2199,100,818,457
"18792_rluB",494,1153,1428,4595,1004,405,747,2878,562,393,433,487,398,1729,295,3830,0,0,301,9,477,176,564,1160
"18795_sohB",4330,426,6806,1072,4973,129,6413,3365,3441,265,6400,547,5381,728,3433,1715,0,0,3560,8,4562,93,4778,1407
"18813_rnb",3782,2398,6124,4200,8275,1031,5286,6754,4387,1070,3504,1408,3235,4291,2478,8445,3576,180,2268,54,9128,375,3105,4290
"18819_sapC",213,83,271,127,230,37,220,6,363,20,338,21,323,125,301,264,369,7,224,0,422,6,235,142
"18837_msmE",132,5,38,0,67,0,80,3,29,1,32,2,165,8,41,8,35,1,44,2,583,6,35,3
"18838_ycjO",39,1,8,0,25,0,16,1,2,0,14,0,27,0,15,2,14,1,6,0,87,0,8,1
"18839_ycjP",43,4,29,3,20,1,31,5,26,1,28,2,44,3,20,1,26,1,15,2,182,1,27,6
"18840_gutB_2",131,7,49,1,82,0,129,21,71,2,82,6,104,10,65,10,55,0,51,0,317,1,57,2
"18841_D-tagatose_3-epimerase",72,6,35,3,64,0,111,17,55,1,66,5,72,8,35,8,32,2,54,0,243,2,32,3
"18842_ycjS",130,9,87,8,121,4,134,20,60,0,61,1,68,11,66,22,42,0,43,0,297,0,47,9
"18843_kojP",157,12,139,8,140,1,134,26,55,0,72,10,155,12,92,25,75,3,88,1,439,2,109,12
"18844_ycjU",29,0,5,0,13,1,16,0,9,0,3,2,12,4,2,1,2,1,7,0,200,0,3,0
"18846_ompG",74,0,65,2,57,0,23,1,46,0,21,0,22,2,37,4,27,3,22,0,166,0,10,3
"18852_ycjG",1096,75,1673,194,743,31,2140,24,1731,326,587,24,790,38,646,125,782,256,802,5,646,1,600,100
"18856_Alpha-beta_hydrolase_family_protein",1741,64,1075,97,825,27,1258,9,608,63,1046,15,1112,37,369,28,1697,6,977,2,1345,10,582,72
"18857_dmlR_7",564,96,1563,254,765,48,2019,16,895,294,583,46,523,69,473,206,485,14,561,2,506,10,504,185
"18860_hypothetical_protein",730,84,1521,245,1224,16,2050,42,2477,632,1893,71,3515,220,2653,188,1126,247,0,0,3823,70,1142,211
"18868_smrA",1220,201,1414,563,1036,30,1138,59,673,455,806,50,616,48,360,327,659,9,0,0,673,16,322,156
"18875_ompN_2",150,5,224,15,233,39,127,60,127,8,204,12,116,96,113,52,154,4,118,1,542,6,88,19
"18876_nifJ",1691,835,2156,1609,1341,505,1633,2425,1152,131,2621,147,1489,1716,1333,1981,1927,29,970,3,1490,116,785,725
"18880_hypothetical_protein",1154,305,1626,565,2069,59,1660,978,1671,118,1241,153,877,400,831,808,1705,19,580,5,1570,18,462,286
"18909_hypothetical_protein",457,51,468,52,584,34,325,97,383,17,446,59,396,104,445,356,364,1,191,1,1838,14,217,80
