"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11","UR12","UTI12"
"1296_hypothetical_protein",114,11,86,9,444,0,139,30,146,8,105,7,119,21,137,43,131,1,169,1,162,6,118,31
"14815_ydiN_1",17,0,0,0,28,1,92,0,39,0,36,1,14,2,37,1,25,3,25,3,67,0,13,2
"14820_rhaS_1",483,5,49,2,727,5,696,34,1091,13,664,37,773,7,593,51,718,1,690,1,436,2,314,30
"14827_ppsR",1202,29,1967,88,1392,14,2414,15,2473,261,2054,18,3267,112,1791,293,2571,2,1185,2,2850,13,1024,113
"14837_pheT",7343,5573,13141,10288,12267,2179,16402,838,13173,14312,23339,2589,17740,2653,18842,8068,16768,25724,19379,404,14875,53,58383,1323
"14840_rpmI",29826,9803,21035,23812,26740,3731,18103,39026,21125,5345,29195,7361,24431,13620,22219,35605,21311,1065,24648,302,17085,3144,20378,14563
"14842_thrS",71834,19634,87857,39127,79267,7274,82667,3010,75315,73406,64199,7496,60783,11484,46385,24838,50183,68838,59243,1297,44981,280,52875,3879
"14847_hypothetical_protein",2053,67,4387,273,3945,89,6708,41,5361,36,5605,255,5708,231,5806,526,8791,11,5990,5,3008,28,3224,323
"14854_cedA",170,15,204,38,580,39,145,9,81,60,397,28,524,34,466,122,375,247,479,6,461,3,465,16
"14867_astE",42,5,68,9,62,2,58,6,37,0,102,9,70,2,49,7,112,0,52,0,55,0,25,4
"14868_astB",114,6,129,15,97,3,82,13,63,1,158,5,118,12,78,24,225,1,89,0,115,1,64,7
"14870_astA",77,7,68,7,53,8,54,7,34,4,111,4,67,1,54,22,170,0,24,1,65,0,15,8
"14881_ynjF",424,65,659,107,234,11,408,87,181,6,148,16,135,33,135,69,211,4,146,0,189,2,163,60
"14884_gdhA",13931,267,9642,226,9080,136,7922,554,9496,92,9496,405,7300,337,6974,700,6523,27,8468,7,9151,50,6013,744
"14887_selD",3261,1325,3712,170,3495,118,4083,2223,3725,206,4622,468,4006,809,3989,2207,4529,40,2879,10,3725,86,3042,1076
"14890_ansA",853,242,1578,519,1204,69,1159,1312,853,101,947,190,578,333,415,566,495,10,585,9,818,40,560,435
"14893_msrB",800,131,1088,436,1211,38,1252,48,1869,1291,843,58,2484,162,1811,299,852,839,1914,11,3424,91,444,331
"14894_gapA",39399,6469,45883,19325,47087,3337,38603,1203,49045,26582,39729,2938,40180,7653,36240,10855,33684,27615,51828,384,72112,1506,22481,14011
"14912_tehB_1",13737,422,1740,58,11110,318,1465,6,2623,335,20087,578,3991,217,9369,1002,14914,10,6612,2,3890,155,7080,832
"14919_rnd",1174,948,1630,1458,1670,212,351,1192,1084,284,1193,362,1043,1290,661,2503,757,53,782,8,1569,115,973,1120
"14921_slp_1",333,508,627,657,1026,142,552,1127,588,175,1264,362,1043,860,603,1711,866,24,766,8,3593,58,536,938
"14922_tsaB",519,615,977,978,946,87,684,616,857,274,727,266,619,1070,730,2129,383,40,507,10,1096,138,689,1327
"14926_hypothetical_protein",863,27,3460,104,1370,9,3622,9,2938,364,1554,54,1152,50,1236,180,1742,10,1221,0,1422,14,432,71
"14931_adrB_1",122,15,264,15,163,5,342,3,196,23,160,8,124,29,147,33,256,3,101,3,134,7,115,24
"14938_hypothetical_protein",323,29,320,53,339,9,296,5,302,145,145,7,163,33,227,46,146,2,86,1,220,7,147,78
"14945_stp",162,88,462,167,339,87,433,8,253,393,282,23,329,34,96,125,153,158,157,8,911,41,218,69
"14949_msrC",2566,727,8430,1710,4027,188,9916,141,6020,3304,6484,266,4496,452,4524,1130,3690,1384,6047,44,5004,16,4931,1213
"14951_pqiB_1",900,252,2126,582,1573,90,2907,55,2147,1029,2177,121,1788,224,1566,424,1410,762,1907,29,2492,43,1362,533
"14952_rsmF",804,465,1648,945,2997,328,1598,102,1078,1329,1146,244,582,314,498,824,388,1777,449,62,841,120,529,655
"14954_hypothetical_protein",460,39,962,75,463,12,1258,9,811,194,444,15,684,20,685,102,547,96,857,2,675,2,278,101
"14970_eda",4441,536,5915,1391,3105,178,2579,1826,3740,177,3442,272,2288,641,3097,1511,2651,32,2774,7,1834,126,2790,580
"15005_cmoB",738,260,1002,579,1476,87,2814,46,1492,227,1306,245,805,429,956,1392,1117,34,631,5,728,52,948,734
"15007_torY",24,6,42,4,23,6,89,0,17,0,19,4,3,1,12,9,16,3,7,1,14,0,17,2
"15008_cutC",712,295,789,254,1046,131,764,18,1609,149,2342,223,0,0,1734,792,2335,14,2201,6,4173,53,1525,437
"15035_hypothetical_protein",34,1,233,18,18,0,15,151,19,7,95,9,9,4,9,6,3,1,7,1,21,1,6,15
"15050_fliA",31,1,2012,127,36,1,1922,402,33,2831,206,72,1110,72,40,22,59,2,147,4,73,2,15,119
"15062_ureR",437,19,376,27,858,25,915,294,539,30,554,51,643,60,669,147,447,3,549,1,1210,9,307,103
"15064_emrE",424,83,586,91,815,24,543,373,533,65,662,105,539,157,441,357,461,10,525,6,1335,20,403,293
"15065_fliE",41,4,200,37,34,2,38,162,23,290,22,16,44,7,28,0,28,8,32,0,33,1,25,0
"15066_fliF_1",75,6,968,346,66,3,87,630,118,5983,80,89,547,69,24,11,70,41,42,6,70,3,44,7
"15067_fliG_1",39,4,334,190,69,4,105,291,71,2056,111,64,279,43,40,8,106,46,63,1,65,2,59,4
"15068_fliH",50,1,171,111,28,4,58,91,39,826,64,29,161,15,36,8,41,20,33,2,21,0,43,0
"15069_fliI_1",35,1,196,111,26,1,40,94,35,825,45,10,181,15,23,3,22,16,16,2,29,0,35,2
"15070_fliJ",12,0,152,85,16,1,36,94,21,1384,41,25,117,19,6,4,27,3,26,2,22,2,27,0
"15071_fliK",74,1,349,108,57,4,68,90,57,1531,83,22,225,19,41,6,62,21,36,1,42,3,64,2
"15072_flagellar_basal_body-associated_protein_FliL",21,2,441,93,26,0,48,178,34,1436,64,45,294,34,21,2,36,14,22,0,13,0,24,2
"15073_fliM",55,5,643,115,61,3,80,120,48,1222,115,61,454,48,38,2,59,21,56,3,49,1,60,3
"15074_fliN_1",26,0,93,9,9,0,13,20,10,279,19,5,55,1,3,2,13,2,4,0,8,0,6,0
"15075_fliO",39,3,329,90,32,2,65,119,23,1168,58,27,183,23,26,7,10,14,29,0,21,0,27,2
"15076_fliP_1",12,0,111,38,6,0,31,54,18,319,15,4,41,6,9,1,9,10,8,0,7,0,17,2
"15077_fliQ_1",10,0,70,27,8,0,26,18,9,223,8,1,9,2,3,0,0,3,6,0,2,0,1,0
"15078_fliR_1",3,0,49,16,6,1,24,34,3,110,7,4,8,2,8,2,2,2,2,0,3,0,8,1
"15079_rcsA",27,15,77,8,45,2,60,9,2,34,6,6,30,3,34,1,31,13,32,2,22,0,1374,1
"15080_hypothetical_protein",390,66,1698,174,667,18,2990,24,553,385,785,48,1220,88,1266,116,939,235,1110,4,699,4,880,29
"15081_hypothetical_protein",151,2,437,6,113,1,766,1,258,8,170,3,361,5,260,2,174,7,537,0,259,1,108,0
"15082_yedP",218,3,1144,13,159,3,971,2,844,48,217,2,364,11,263,12,240,37,476,0,292,1,163,2
"15083_yedQ_1",409,52,1159,86,567,26,1341,10,724,137,719,23,875,52,674,109,648,269,795,9,530,4,771,16
"15084_hypothetical_protein",86,13,431,34,171,4,474,0,318,101,416,14,428,43,482,78,361,176,829,1,399,2,131,6
"15085_yedI",260,63,763,153,475,18,189,5,621,293,863,52,800,111,627,143,760,438,862,9,670,0,570,16
"15094_yedW",1112,147,3244,283,2366,94,2105,23,1209,46,1293,211,1083,359,1538,647,951,13,1931,3,2966,22,940,235
"15116_cobS",222,16,830,70,403,4,363,72,361,10,487,46,249,26,239,87,239,1,336,3,399,5,210,38
"15131_sbmC",1734,255,2723,274,1645,155,2364,4,1226,475,1713,34,1367,288,1185,179,2082,13,1018,2,1541,17,599,76
"15132_dacD",264,728,477,822,315,303,675,20,318,1027,244,63,234,26,171,668,171,433,368,30,243,5,1552,82
"15143_hisC",1612,270,1048,153,1170,102,661,21,1132,241,1432,44,1167,89,1732,215,1208,447,1176,7,860,1,6755,19
"15148_hisE",1453,207,1619,194,1736,77,1246,27,2146,543,1387,19,1246,90,1093,306,1788,7,1410,2,4288,14,1849,462
"15149_wzzB",6712,1861,5473,1515,17872,531,3198,62,9003,1689,6177,1381,6436,4237,4631,9419,2556,161,4888,46,9253,393,5508,9347
"15150_ugd",536,224,13604,6415,938,100,4357,5956,1097,3148,3515,568,13056,10396,1263,1481,166,5,373,3,1289,17,179,81
"15160_pimB_2",59,18,98,14,51,4,48,5,65,2,76,8,74,19,36,36,59,1,125,2,110,0,48,18
"15161_colanic_acid_biosynthesis_protein",72,20,100,18,90,4,42,0,46,3,76,8,132,22,43,33,52,2,79,3,109,1,50,12
"15163_wcaJ",29,24,41,8,43,2,19,0,1374,3630,18,2,25,3,21,6,17,13,27,1,95,2,16,2
"15170_lacA_1",5,12,4,1,7,1,6,0,5,0,9,0,3,2,3,8,6,2,10,0,103,0,4,5
"15171_PGL-p-HBAD_biosynthesis_glycosyltransferase-MT3031",12,15,23,5,11,0,27,1,9,1,3,3,6,5,3,5,5,0,8,1,100,0,7,1
"15172_putative_colanic_acid_biosynthesis_protein",23,42,42,3,30,2,24,3,23,9,24,5,31,12,24,15,27,3,19,5,212,0,26,2
"15184_alkA",387,39,574,33,283,7,312,53,206,8,286,12,263,40,269,138,405,5,280,0,324,5,219,32
"15185_dnaK_1",186,441,295,730,708,200,236,598,343,343,213,133,209,880,193,4638,121,26,130,5,161,121,168,1592
"15227_gatZ",339,5,389,5,141,3,222,0,41,1,84,8,26,2,41,3,37,1,160,1,27,0,42,1
"15232_kdgK_1",394,18,216,30,282,4,131,4,243,46,234,8,219,9,225,46,202,2,181,0,140,2,129,15
"15233_yegW",335,60,633,129,702,33,672,13,760,259,352,33,335,44,359,277,308,4,343,3,581,12,353,133
"15234_acm",66,14,195,24,138,12,1607,471,209,0,118,13,107,19,59,49,35,3,125,6,56,3,84,18
"15243_ecpD_1",44,3,18,3,17,0,13,1,4,1,13,0,25,0,14,1,9,2,4,2,5,1,25,0
"15248_WGR_domain_protein",414,38,767,114,659,68,823,11,569,171,207,14,193,20,164,89,177,14,141,10,192,10,129,59
"15265_bglX",2292,510,3446,1287,3847,168,2850,1747,3082,314,3064,369,2396,764,2269,2034,2405,50,1782,13,4010,84,2561,1069
"15280_mglC",1524,2,1325,4,1895,6,1441,19,705,3,561,34,3101,8,518,20,2006,1,360,1,100,0,285,12
"15292_psuK_1",577,230,1401,1036,7142,525,459,13,664,276,1636,233,1207,261,1326,1036,1430,2436,1127,57,1699,150,1269,771
"15300_lacC",167,389,307,515,109,102,267,40,119,92,218,318,146,314,139,1055,204,17,166,6,338,39,93,1590
"15306_yciC",732,262,1681,731,932,229,1158,17,708,852,1342,65,772,84,681,595,585,592,613,24,692,4,909,75
"15310_appA_1",1504,132,2577,243,1632,75,1726,385,1556,65,2088,143,1246,300,1358,475,1434,13,1337,6,3855,36,1060,281
"15315_bcr",1030,290,1729,422,1647,98,1297,466,1076,62,957,83,930,478,770,757,783,19,754,2,810,25,842,253
"15317_type_I_restriction_enzyme_EcoKI_subunit_R",1138,411,1127,372,990,147,1133,970,783,95,2466,305,2703,1427,593,798,756,16,2693,10,1387,40,793,325
"15321_yejM",1247,670,2419,1100,3181,321,2475,101,2221,1110,2279,349,1640,446,1665,1473,1369,2739,1425,63,3829,158,1779,1406
"15329_ccmC",529,34,670,96,743,28,361,6,472,111,834,37,599,69,482,202,600,2,288,1,1516,5,317,103
"15335_quinol_dehydrogenase_periplasmic_component",621,7,176,10,411,9,121,24,654,15,580,2,255,51,208,78,246,0,84,0,611,4,136,29
"15339_hypothetical_protein",26,3,48,1,33,0,107,0,29,0,54,1,35,0,37,1,46,0,23,0,35,0,11,3
"15344_ada",402,53,430,129,253,15,683,2,534,107,327,10,501,103,426,179,617,3,304,0,272,6,143,49
"15349_rcsC",2043,591,4430,1054,5304,75,3665,2242,2529,202,2768,471,2570,1101,1983,1526,1463,46,2276,11,7106,84,2308,1078
"15351_hypothetical_protein",156,12,199,29,210,8,127,40,161,7,209,19,195,47,305,131,144,6,163,2,151,5,210,51
"15352_MG2_domain_protein",205,20,360,40,360,26,192,3,227,33,229,11,199,29,201,72,211,8,170,2,298,15,76,20
"15358_nrdA",15127,6881,21275,15092,29921,2284,32107,1809,27852,13778,14921,1377,18397,8070,12397,27519,11177,349,9058,43,2873,634,10750,6049
"15360_ascD",615,214,307,260,504,45,339,10,732,57,773,57,1173,368,724,647,686,11,445,1,238,23,388,224
"15363_glpT",3268,32,10360,57,2547,90,16710,82,2182,19,1565,147,1763,102,3463,399,3261,7,3132,1,440,19,3201,238
"15376_arnD",150,6,250,22,267,0,213,44,360,10,483,21,405,45,655,100,399,1,575,2,490,2,185,38
"15378_arnE",104,2,123,2,98,2,71,12,101,0,157,4,130,9,195,21,125,1,148,2,76,0,61,4
"15386_menF",2584,543,3512,1421,2309,183,3297,1738,1248,124,2490,385,1235,708,1632,2583,1770,42,1089,4,1851,108,1217,1099
"15397_nuoI_1",1467,218,921,524,918,93,781,2526,804,102,1711,191,875,533,753,718,1454,28,851,2,1809,84,924,282
"15400_nuoF",4383,895,4510,3419,3207,336,3893,10824,3588,278,9396,762,9347,3791,3946,2637,7024,60,4442,22,7935,262,2934,2043
"15406_alaA",9211,749,19343,1472,13544,397,21354,160,25843,705,19600,895,16237,2641,17672,3006,12671,76,14448,34,15540,322,15447,1563
"15414_hypothetical_protein",169,45,272,50,124,5,127,8,119,45,72,4,202,3,65,24,45,118,48,4,49,2,67,4
"15417_yfcF",544,31,1307,42,1000,18,1550,4,648,112,971,11,961,38,541,46,805,78,492,0,762,2,1044,56
"15425_hisJ",13821,550,9226,998,14552,172,8323,112,13381,2966,8671,251,9398,600,12410,512,11993,2498,6066,32,8998,8,9852,56
"15427_ubiX",397,127,982,208,1111,83,1206,32,737,360,514,31,645,66,605,352,325,425,441,8,451,3,1156,13
"15428_purF",836,628,1348,1106,1569,276,1299,953,1194,208,1322,227,1796,1797,762,1778,627,44,654,7,1557,167,532,866
"15438_garP_1",149,89,440,341,515,28,372,16,323,354,121,29,104,222,145,547,91,4,193,4,183,14,181,177
"15445_hypothetical_protein",740,301,864,421,426,34,804,33,952,825,1304,102,525,83,455,129,459,353,785,15,389,1,849,31
"15447_aroC",2015,439,3516,1009,2955,220,2669,592,2173,185,2001,144,1999,615,2126,2002,1595,35,1314,7,2821,57,1442,703
"15450_hypothetical_protein",279,13,1623,91,2064,13,414,97,395,14,518,19,323,46,603,98,337,2,412,1,370,5,182,45
"15534_ypdA",643,257,1046,401,1038,171,687,416,884,110,1101,286,933,1185,618,1258,663,24,1060,9,1462,78,1220,686
"15540_fryC",45,6,146,19,33,5,144,0,30,3,41,0,30,3,21,8,32,8,62,1,36,0,35,0
"15543_putative_ion_channel_protein",227,15,402,19,204,2,498,2,211,27,256,5,180,19,199,25,301,2,237,0,355,4,133,18
"15555_cynR_1",632,47,524,99,413,16,635,8,358,124,337,17,305,71,403,135,257,4,333,5,263,8,216,51
"15565_pdxK",1290,61,2524,290,1772,26,2118,35,2140,402,1516,23,1958,86,1559,110,1377,7,1015,3,1021,11,960,131
"15566_hypothetical_protein",80,32,190,24,40,11,182,13,154,37,25,8,73,11,85,41,40,23,64,2,76,1,116,1
"15575_murP",384,30,325,58,397,24,282,5,240,130,354,26,2099,107,278,93,243,185,266,4,247,1,228,76
"15587_eutB",320,12,330,25,201,9,232,2,249,29,192,2,218,18,237,28,202,43,212,3,158,0,140,24
"15588_reactivating_factor_for_ethanolamine_ammonia_lyase",56,3,63,10,39,0,106,1,42,0,49,3,42,1,46,1,39,12,41,0,45,1,24,4
"15597_eutQ",48,0,49,4,57,2,23,0,24,3,35,2,29,1,22,4,39,1,30,3,21,0,7,4
"15602_tktB",16440,4847,24135,13132,25719,1833,29028,17119,22001,2120,24474,4490,29112,8969,24805,24629,31418,437,16784,117,23189,846,17815,8139
"15617_hypothetical_protein",3,2,10,2,7,0,6,1,5,0,7,1,3,1,4,2,7,1,3,1,3,0,11,0
"15619_dapA",15026,1855,21931,3216,19775,654,19034,5883,14196,738,15267,1468,13939,3028,10142,5639,12653,120,9837,31,17068,305,11242,4256
"1563_Glycosyltransferase_family_9_-heptosyltransferase-",92,1,108,3,46,1,177,29,94,5,63,5,74,5,94,28,73,1,80,1,77,2,46,17
"15641_hda",3535,1168,4611,1610,3491,309,4069,160,1933,1000,2102,307,2063,2000,1911,2601,1874,89,2521,23,1262,141,2560,1164
"15660_hisS",5500,2414,8597,4125,10996,829,7882,6232,9157,992,8343,1926,7778,3728,6930,8109,7394,145,6094,39,10899,316,6704,4153
"15675_iscU",6487,3330,10573,4489,8951,676,14304,368,8321,730,4806,991,9964,3551,6221,9305,7755,147,6077,22,8379,518,6126,1802
"1567_norM",711,69,843,35,2385,6,889,139,1359,37,897,56,991,102,1206,144,1421,9,1041,3,1781,26,926,95
"15689_yphA",121,3,413,13,164,2,527,0,284,20,343,0,473,4,316,14,534,0,422,1,103,1,66,5
"15690_galM_1",253,26,193,11,164,3,128,17,118,4,196,29,157,12,177,46,126,1,144,2,88,1,283,79
"15693_mglA_2",121,4,125,9,107,5,116,1,83,8,80,0,73,7,80,23,61,1,82,0,70,1,105,6
"15698_hmp",74337,8732,107457,7244,55477,3729,116595,17062,76446,371,23345,3599,48664,11135,56992,5293,69657,90,68918,37,8970,626,63087,5287
"15700_qseF_1",1006,154,1353,449,1789,71,1660,611,1511,92,1540,134,1104,329,1205,745,1178,21,815,5,1718,47,1222,491
"15703_purL",1488,1790,3187,3978,3320,879,2904,140,2931,2787,2770,354,2315,406,2902,3160,1845,3571,1322,141,1606,230,1521,1999
"1570_erfK",643,16,640,22,1599,3,1350,164,795,13,1694,74,679,44,850,98,1419,4,1009,0,623,7,259,84
"15712_era",1617,1059,3817,4148,5156,424,5368,427,4602,4366,3382,688,2413,777,2175,2277,2150,5854,1664,128,1884,29,1570,225
"15714_lepB",1211,1077,1603,2945,2623,307,2346,131,2237,431,1729,603,1947,1610,1639,3854,978,55,1056,9,2992,186,1054,1637
"15715_lepA",3452,2681,6866,5442,9855,877,6909,336,6161,6659,4960,1042,4343,1517,3829,4352,2736,8586,2418,141,2515,37,7174,348
"15716_SoxR_reducing_system_protein_RseC",358,388,1116,506,1477,191,942,31,741,426,488,108,435,159,416,552,500,20,321,1,1335,41,484,326
"1571_cobT",396,27,525,11,1126,14,906,381,630,21,1009,113,389,53,529,184,394,8,715,3,820,13,358,99
"15729_DTW_domain_protein",292,136,729,349,635,124,376,570,455,76,226,114,449,440,252,496,288,14,340,5,447,38,446,331
"15730_Acetyltransferase_Pat",4487,233,6945,546,4583,158,5479,1512,3108,152,2982,230,4280,528,3329,1134,4244,38,3685,10,2339,58,2953,572
"15733_kgtP",3412,54,4784,267,1826,33,5203,21,7941,1064,1260,14,4780,95,1462,241,5706,7,6007,11,9012,14,1016,81
"15734_clpB_1",28422,1366,20904,1470,17097,2475,21501,2189,11591,308,15282,2555,11937,2415,12554,3215,12040,45,10153,18,57055,168,5818,1694
"15739_pheA",2264,495,4096,569,3250,221,3749,61,3452,1043,13789,1014,3305,312,3820,886,3081,1540,3237,34,2584,10,106166,475
"1573_cobU",466,15,419,10,571,3,298,167,357,17,476,72,266,51,266,124,307,4,393,3,455,11,251,52
"15754_ppnK",1825,137,5433,342,1957,88,5318,40,1643,62,1927,90,1519,308,1560,436,1895,16,1455,2,1974,30,1589,285
"15776_ygaP",950,66,934,65,468,7,1090,15,1335,25,313,24,369,49,354,88,1773,5,678,4,245,11,265,78
"15783_nrdE",12010,86,17857,626,27442,313,30062,354,28968,219,17700,146,5663,2534,21261,307,22395,2397,11467,41,15781,29,473,114
"15785_proV",601,7861,1650,13261,1356,2916,1687,856,828,121,1059,342,960,1600,822,10591,673,83,1547,13,6821,536,449,225
"15807_srlD",66296,93,10143,70,6834,197,12100,24,15507,35,1816,332,17920,37,6350,447,2188,1,7957,0,136,9,506,104
"15833_fhlA_2",1695,99,2567,267,1513,67,1226,358,1731,27,1593,34,790,185,1183,330,746,14,755,10,604,23,712,130
"15839_garR_1",35215,21,7154,10,29940,2,45873,21,9628,13,5758,73,41511,24,5681,62,15009,0,25852,1,115,2,12447,18
"15840_hypothetical_protein",70432,51,21537,16,59925,6,79647,49,18708,32,12600,171,91368,78,11478,168,31118,4,52575,4,256,5,26031,48
"15841_fucA_1",33748,25,10107,11,35035,1,40490,18,12328,13,6255,85,52662,31,5638,52,18452,3,20338,1,190,2,11297,19
"15842_ygbM",65815,27,15685,9,67625,5,68488,46,9013,8,8490,92,54630,25,6817,63,16840,4,14624,0,184,2,13000,24
"15843_ygbN",26119,30,7225,3,27209,3,31444,59,5857,7,2340,20,28787,59,1529,47,4508,2,6073,3,126,3,4124,11
"15851_surE",2178,706,2434,1456,2737,276,2719,2155,2690,310,2468,339,2591,1164,3274,2929,2439,57,2077,4,3265,145,2005,1030
"15854_ispD",1451,701,1327,100,1366,40,1342,873,830,121,734,73,733,469,828,1042,600,16,554,11,1377,49,545,337
"15860_ywaD",3258,318,1992,56,3938,31,3016,1442,1644,117,1493,164,1084,319,1217,569,954,8,1277,11,2759,35,1661,355
"15869_hypothetical_protein",141,12,116,8,84,0,81,1,35,0,36,5,78,14,40,16,27,2,25,1,3,0,60,0
"15870_Glycerol-3-phosphate_responsive_antiterminator",243,20,367,28,330,11,292,4,164,5,107,9,202,39,166,43,148,0,180,5,56,1,216,12
"15873_ygcS_1",39,5,66,7,86,4,58,0,26,0,62,1,20,4,92,23,40,4,19,1,22,0,18,1
"15874_putative_FAD-linked_oxidoreductase",143,2,490,12,178,6,275,0,103,5,111,4,69,15,84,26,121,4,102,2,60,3,98,14
"15875_kduD_1",25,0,29,5,13,2,24,0,29,1,33,2,42,2,28,11,28,0,148,2,31,1,76,9
"15876_yqcE",93,5,92,3,42,4,62,0,32,0,80,4,57,8,29,9,32,8,49,3,19,1,18,5
"15877_lsrK_1",225,23,285,20,344,12,366,5,149,10,211,20,298,33,240,79,147,3,183,1,97,2,144,30
"15890_gudD",597,91,651,78,1175,184,604,7,457,152,1090,67,1786,100,1010,397,2025,10,673,4,6848,38,501,161
"15891_gudX",215,22,369,49,393,50,465,5,215,61,535,33,266,166,302,231,526,8,203,3,2303,16,183,48
"15913_csdA",1710,310,2271,518,2679,157,2561,43,2250,811,1745,123,1644,625,1459,1089,1928,20,1758,8,2724,91,1860,595
"15915_tcdA",189,124,712,433,1374,103,663,775,933,267,720,297,648,589,506,1898,412,37,535,18,725,111,532,984
"15918_argA",8325,397,18578,194,24477,67,31834,660,11231,85,7539,198,18726,140,17952,317,3432,8,13975,4,9562,21,6070,358
"15929_lgt",1725,482,1479,975,2011,174,1525,52,1509,1493,2023,193,2049,321,1845,1803,1572,29,1618,4,2240,85,1179,712
"15931_rppH",2409,355,4416,525,3338,145,3834,1179,2897,127,3467,219,2788,590,2630,965,3296,25,2583,6,3287,72,2174,453
"15947_yqeG",337,908,454,1838,446,176,554,98,553,2649,258,94,295,137,201,2116,205,33,332,6,374,71,124,351
"15997_ndhF",921,4,858,27,1010,6,607,3,694,17,598,4,195,12,818,24,372,0,497,5,123,2,412,12
"16008_gltD_2",196,9,87,8,164,2,148,28,81,2,68,10,66,19,74,13,76,9,113,5,110,1,111,12
"16009_mtaD",17,2,57,6,41,7,66,1,54,3,34,0,52,6,37,13,16,6,31,2,25,3,41,0
"16021_prfB",11309,3346,10974,6513,15825,1229,11054,10556,13152,2023,8727,2054,0,0,7767,14410,6085,293,5932,41,6044,533,7203,5119
"16022_recJ",2474,799,2059,1407,2401,314,2519,95,2187,1189,2731,279,1714,954,1684,2217,2535,71,2055,10,3746,139,1915,1163
"16026_cptA",1185,207,935,200,838,43,672,14,665,382,1006,67,996,366,518,519,848,16,659,2,700,30,677,255
"16050_cynR_2",230,23,329,82,411,11,134,96,261,28,114,43,89,74,321,245,191,7,275,2,471,11,114,53
"16059_ecfT",94,5,93,1,55,1,50,3,53,0,25,2,48,19,33,12,31,0,26,0,30,0,50,7
"16062_coaA_1",593,49,717,135,481,19,433,5,254,28,269,41,320,101,265,155,217,8,275,0,214,17,279,97
"16077_speB",1396,394,1529,1442,2270,155,1148,106,991,501,1710,461,1479,737,1839,4003,619,35,890,32,784,82,858,1743
"16079_speA",2905,968,5925,2258,7778,349,6597,3601,6176,1201,4710,626,4866,2309,3290,4992,3119,92,2277,23,2574,215,2570,4219
"16086_gshB",2452,583,3188,1390,3111,350,3195,1523,3091,236,3237,307,2134,1234,2017,1908,2547,51,1892,7,2915,98,2100,644
"16089_pilT",111,7,26,15,26,3,23,0,101,13,33,2,37,5,42,11,32,25,40,1,25,1,25,1
"16102_mltC",813,361,1397,603,1517,199,1841,75,1269,1029,1206,134,910,218,935,843,659,17,653,4,1417,61,762,659
"16105_ydfK",104,17,156,33,120,4,100,55,149,12,158,12,84,28,125,72,154,2,148,1,172,6,130,42
"16106_epsM",58,147,69,4,57,18,49,122,48,11,69,47,55,110,32,663,42,10,41,5,54,12,55,247
"16107_epsL",45,333,102,12,51,35,63,108,44,52,70,68,66,231,43,1614,37,18,37,7,99,19,55,437
"16111_glcB",3422,219,5515,43,3082,18,2413,201,1913,25,2303,100,2423,168,2362,410,3678,7,1789,1,2403,35,1150,272
"16112_hypothetical_protein",607,37,1309,5,618,2,549,35,612,12,332,12,958,37,406,92,1273,1,325,0,470,0,190,34
"16117_lldR_1",382,70,1759,29,597,8,1304,139,622,16,958,29,2761,82,445,59,2002,1,358,1,1005,1,269,59
"16118_hypothetical_protein",69,6,75,1,72,1,55,14,22,1,40,3,16,7,34,52,9,1,28,1,38,2,28,7
"16120_3_beta-hydroxysteroid_dehydrogenase-Delta_5-->4-isomerase",21,1,14,0,50,0,41,13,15,0,7,5,8,3,12,7,5,1,9,1,12,0,6,2
"16121_acyl_carrier_protein",155,32,98,2,286,1,136,56,137,6,81,15,137,38,89,44,62,3,113,0,133,4,89,29
"16122_bioF_1",267,24,173,3,224,2,185,28,169,5,171,17,98,21,148,45,140,2,197,2,82,3,108,18
"16125_Bacterial_protein_of_unknown_function_-YtfJ_HI0045-",125,19,41,0,141,3,114,39,46,2,33,4,129,29,28,15,24,2,19,0,19,1,27,4
"16126_hypothetical_protein",236,30,132,3,306,5,179,57,124,4,90,12,130,32,97,26,77,3,53,8,81,1,54,13
"16128_thymidylate_kinase",54,5,52,8,106,1,52,12,42,0,45,5,38,21,28,21,23,1,28,2,38,3,27,10
"16129_hypothetical_protein",178,6,85,3,240,2,79,10,63,5,52,11,51,23,41,19,30,0,54,2,83,0,38,13
"16130_thymidylate_kinase",69,6,29,5,37,0,18,3,31,1,20,3,14,1,15,12,14,0,17,3,17,0,15,2
"16136_hybE",827,44,471,101,600,25,350,160,701,41,704,32,341,61,365,187,390,2,377,2,334,12,300,99
"16140_fdnH_1",1313,104,861,240,1105,35,481,456,828,115,861,36,371,119,349,420,374,9,360,1,418,15,395,95
"16144_gpr_1",3750,15,3374,40,0,0,1769,43,1878,5,862,42,1210,37,1008,68,1428,5,1339,2,93,5,1446,92
"16153_yqhD",2372,559,1903,244,2005,54,3363,759,948,48,1598,187,2137,726,1989,870,1499,17,576,3,916,57,1445,265
"16166_mdaB",723,98,1274,377,516,90,1263,31,1208,321,751,35,1121,94,582,295,785,865,526,3,791,65,623,259
"16168_parE",4742,2002,6242,2697,6984,420,7630,232,8214,4292,3002,696,4972,2364,2934,3956,2208,69,3292,22,4441,205,3314,2178
