"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11"
"17895_hypothetical_protein",190,33,125,3,254,157,277,15,456,8,46,10,118,55,3029,9,684,2,104,0,24,10
"17899_hypothetical_protein",82,8,30,1,43,12,37,1,40,1,17,2,37,16,42,1,3,0,66,0,25,12
"17911_hypothetical_protein",56,3,41,8,44,1,35,15,78,4,43,2,48,25,68,2,31,0,54,1,272,24
"17949_frmR",662,173,777,440,996,144,973,42,826,464,864,66,940,294,935,1174,1094,18,582,48,802,387
"17950_hypothetical_protein",174,2,359,17,449,0,190,13,190,9,210,11,91,8,183,4,160,3,159,1,53,16
"17952_mshB",16,6,24,9,54,1,25,11,40,7,14,14,17,12,12,0,16,1,34,0,11,25
"17960_ampH",1099,236,2494,449,1772,262,2053,964,896,129,1173,938,771,720,924,29,852,9,3134,64,881,407
"17991_preprotein_translocase_subunit_SecF",1449,802,1050,1224,1351,154,1233,1621,1272,257,1495,340,1030,759,1132,2366,1006,13,1481,114,919,1072
"18069_ybaQ",2717,186,806,27,2503,22,3613,22,647,31,699,102,574,233,673,3,493,3,471,10,570,149
"18073_ybaT",194,7,1525,31,344,18,2249,7,435,12,186,28,647,117,484,7,358,6,107,6,161,37
"18076_hflK_2",1471,86,1942,179,2432,66,2018,24,1514,140,2948,114,1363,121,1697,10,1957,0,1854,15,912,120
"18091_allS_4",171,21,80,4,155,2,107,30,64,1,92,5,76,6,56,15,61,3,81,1,60,12
"18109_purE",265,182,364,401,576,85,547,41,400,289,243,39,117,349,102,5,127,1,147,27,192,136
"18115_folD",1704,579,2271,1100,3020,225,2439,80,2059,1534,1698,262,2473,973,1443,1598,1578,28,1682,8,1337,94
"18146_fes",19572,52,27275,362,19096,248,20738,142,15950,378,17181,314,12991,2231,12318,54,12574,44,2964,60,13257,2207
"18156_entE",9396,316,9491,909,14453,580,13239,425,13080,183,16945,391,6303,2208,17082,3910,10441,55,4265,86,6796,2632
"18212_hscC",141,14,273,13,178,6,322,1,310,65,90,6,329,42,821,135,119,66,105,2,72,49
"18230_ptsG_1",9378,421,25396,892,26208,114,26743,2011,15691,166,6256,1349,42913,642,18235,1946,22329,41,26583,20,13879,1605
"18261_ybgI",3098,149,5564,394,4361,75,5998,51,4410,622,5281,178,4193,429,4024,18,2768,4,5756,64,2642,299
"18287_hypothetical_protein",511,233,545,293,280,87,910,42,792,591,358,237,525,873,468,16,569,6,405,35,316,147
"18289_exbB_2",1533,502,3691,1183,4207,139,3145,3550,1720,567,1740,1160,1331,2003,1041,25,1267,11,3799,83,1702,1284
"18349_ybiC",4946,201,5750,213,6532,153,5678,36,6472,472,7584,264,5810,164,5047,576,5592,7,6904,33,3520,417
"18361_rhtA",301,166,508,19,202,176,171,19,161,15,127,95,153,278,114,6,114,2,234,16,106,73
"18377_iaaA",2163,76,3187,165,2908,15,2478,438,1121,21,1705,90,1219,142,1515,4,769,0,1689,13,974,174
"18398_ybjM",244,11,484,35,189,18,347,5,156,48,208,16,101,39,239,128,170,1,274,1,183,20
"18419_short_chain_dehydrogenase",990,138,1390,217,2136,114,1795,384,1949,64,1388,104,1751,309,1860,542,1633,11,1350,5,2288,26
"18427_hypothetical_protein",1162,200,2666,1688,2754,580,2003,3091,2660,583,2157,1129,1654,3112,2415,74,2061,13,5049,95,2136,1474
"18438_lrp_2",9615,538,8628,122,9391,98,9270,1582,6607,102,6679,315,6411,1297,6139,28,6084,6,6983,50,5669,527
"18464_lpxK",167,135,335,374,364,44,463,31,345,370,394,66,281,274,231,443,195,6,206,3,152,248
"18474_murein_L-D-transpeptidase",5197,361,11724,1009,7044,284,9007,1381,8102,203,7729,769,9091,2567,11613,31,5467,12,3096,114,5052,785
"18491_ycbU",10,1,138,20,107,0,110,28,29,2,39,3,45,5,29,1,24,0,52,1,14,9
"18521_hyaB",104,2,75,3,53,2,43,42,105,0,41,6,82,18,82,2,51,1,63,2,26,4
"18562_putA",14871,67,11720,567,11124,24,13536,1419,11203,77,4389,186,29309,460,14216,696,14355,19,4229,41,5705,675
"18570_pgaD",481,16,407,6,373,3,312,36,342,11,312,29,479,103,189,2,389,0,341,7,207,21
"18571_pgaC",291,6,318,6,171,2,198,11,211,2,115,11,296,80,124,8,288,2,195,3,66,14
"18580_ghrA",1942,250,3111,434,1399,52,2558,514,1574,20,1723,104,988,129,1575,8,813,2,1838,25,2395,235
"18616_FlgN_protein",395,49,2495,136,299,2310,625,59,1802,160,394,60,385,94,451,9,362,5,379,6,432,137
"18622_flgE_2",166,7,6200,1098,228,6,139,18475,655,156,2830,242,149,35,198,132,280,7,207,5,106,190
"18623_flgF_2",41,4,916,147,56,5,64,134,17,935,160,29,619,31,42,1,50,0,43,3,35,63
"18627_flgJ_2",119,9,924,142,85,9,42,1639,354,48,71,27,67,52,116,2,90,1,171,6,61,69
"18658_ycfS",71,80,77,17,185,20,55,34,137,10,96,37,65,89,140,1,99,1,425,6,21,16
"18698_minC",6158,605,9633,1191,6771,278,7268,2075,5037,298,6589,489,5288,1092,4160,2671,5119,40,4019,15,8006,124
"18731_ispE",5502,4607,7451,910,5769,3343,4334,1220,3340,1407,4075,3418,2857,10562,2478,178,2524,43,4506,551,3144,5107
"18767_hypothetical_protein",70,11,47,4,77,1,57,63,33,8,87,7,32,29,69,33,42,2,51,1,83,7
"18790_hypothetical_protein",1198,534,2066,878,2720,209,2188,1153,1652,170,1566,859,1441,1853,0,0,1301,7,2212,119,1300,958
"18797_topA_2",13316,6476,14875,1530,15407,10250,11181,1343,12667,2549,9011,5510,9484,14631,0,0,5661,36,14975,613,5536,5524
"18799_hypothetical_protein",841,63,2569,155,1017,18,1295,20,21,3,749,48,560,105,697,213,0,0,1147,0,174,19
"18836_gtfA",373,25,89,4,241,1,226,20,151,2,46,3,302,20,120,2,213,1,2481,22,141,7
"18847_purR_1",1779,205,1015,25,1343,14,886,372,384,26,463,64,434,98,505,374,261,10,846,9,283,147
"18853_murein_peptide_amidase_A",507,16,752,25,234,3,741,4,489,49,206,6,271,21,255,96,196,1,264,0,155,19
"1885_atoD",52209,1,107526,2,133,0,45911,0,42776,0,56330,0,97968,2,23631,0,50570,0,72379,0,55749,2
"18861_uspE",9086,338,15309,412,13058,33,13478,795,13074,461,7904,654,9249,958,13263,28,0,0,8481,49,7045,659
"1886_atoA",16788,0,35954,0,73,1,14957,0,15344,0,28030,3,28392,1,8104,0,19426,1,21852,0,16298,1
"18870_zntB",2012,131,2930,249,2780,68,2221,333,1739,52,1573,255,1686,600,2510,14,60,1,1614,32,1075,292
"18918_mdoD",1383,207,3088,347,4566,121,2316,156,2094,385,2494,588,1509,1116,1298,20,1404,13,3440,45,1460,594
"18927_ydcO",152,5,198,18,73,6,183,0,151,27,337,18,55,20,99,3,950,3,392,7,120,14
"18979_adhP",533,73,1635,63,806,73,3275,12,177,116,2430,24,1945,119,1440,230,1929,0,596,11,311,69
"18990_dosP",1101,8,1417,27,1022,10,1874,1,1281,75,1047,74,636,62,1035,6,1142,1,1438,11,482,118
"18998_hypothetical_protein",720,7,5688,5,1669,6,5153,0,5296,24,916,4,411,29,2621,7,767,2,2891,0,85,1
"18_Prophage_tail_length_tape_measure_protein",472,63,98,11,207,41,223,19,477,23,198,54,123,71,344,6,213,1,274,8,86,31
"19002_fdhF_3",278,32,552,57,208,13,652,6,433,1817,290,158,284,27,286,70,257,128,2987,8,229,5
"19107_tqsA_2",178,12,282,18,166,6,309,1,145,5,97,16,133,22,128,1,146,0,323,0,113,19
"19142_gstA",8038,295,14232,766,14106,361,14497,130,1817,147,14592,579,19750,2211,18049,25,12952,8,5075,32,12049,1673
"19147_anmK",371,47,650,115,599,15,603,12,618,152,815,19,711,67,681,121,635,231,456,0,762,6
"19166_purR_2",2024,1137,2407,166,1860,1512,1020,218,794,323,936,969,585,1851,523,39,624,12,693,136,888,1322
