"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9"
"16123_lptG_1",130,18,131,4,136,0,106,15,68,2,126,23,202,43,73,2,80,13
"16155_Lumazine-binding_domain_protein",328,31,374,1,225,85,115,3,124,51,154,7,84,4,100,1,63,13
"16184_papD_2",67,8,78,7,65,2,112,2,51,8,156,6,33,30,124,3,94,5
"1619_cbtA_1",8,2,7,0,10,1,7,1,1,1,3,0,5,0,32,1,0,0
"16203_dnaG",4131,3181,6500,7886,12251,1411,6315,8547,7385,1614,5038,7098,3269,14856,4202,294,5133,925
"1620_hypothetical_protein",29,0,55,3,74,0,2,1,35,0,33,7,36,11,33,0,34,5
"16675_small_toxic_polypeptide",207,27,104,17,107,0,39,26,4,1,76,6,2,1,66,0,30,9
"16695_siaT_1",50,2,263,1,261,3,333,0,49,1,409,0,57,1,70,1,13,1
"16933_hypothetical_protein",11,5,8,1,5,16,9,3,7,5,2,0,6,1,38,0,4,2
"16934_hypothetical_protein",47,15,7,2,22,31,22,7,32,11,12,6,10,1,51,3,6,11
"16985_yihN",26,1,162,12,79,21,87,8,86,5,63,28,87,3,134,2,70,15
"17030_hypothetical_protein",3,0,6,1,5,0,10,0,6,3,5,0,5,2,2,0,4,0
"17167_alr",957,217,1077,649,2070,259,1544,678,1164,145,1984,1311,1340,39,944,4,1286,1070
"17318_succinate_dehydrogenase_flavoprotein_subunit",557,20,897,38,796,38,116,9,421,206,100,7,121,4,56,0,113,16
"17324_Opacity-associated_protein_A_LysM-like_domain_protein",4949,291,4261,562,2950,112,3405,1031,2994,251,3004,21,2148,8,2690,58,2306,694
"17412_Transposase_IS66_family_protein",244,43,543,273,596,56,393,28,347,246,221,9,116,35,2729,844,2799,486
"17459_RNA_2-phosphotransferase",297,14,600,21,277,14,180,0,592,88,313,18,323,40,246,2,222,20
"17460_Major_Facilitator_Superfamily_protein",75,3,96,21,272,2,252,38,124,8,145,17,291,1,116,5,66,17
"17690_putative_fimbrial-like_adhesin_protein",99,15,842,105,746,23,1180,10,588,186,2828,279,155,58,1877,36,375,3
"17691_hypothetical_protein",467,22,376,11,654,2,290,51,69,2,81,44,70,1,137,1,16,8
"17872_hypothetical_protein",220,16,436,39,134,7,408,2,290,71,97,6,215,17,136,70,117,1
"17896_hypothetical_protein",25,2,36,1,43,24,51,5,115,3,34,13,547,2,116,0,11,0
"17897_Bacterial_regulatory_proteins-_luxR_family",219,38,168,5,336,18,54,26,105,67,4291,12,760,3,84,1,18,7
"1793_yehX",167,15,445,2,130,12,210,9,307,14,196,34,144,0,132,1,127,4
"18083_FtsX-like_permease_family_protein",753,86,663,78,606,28,765,22,832,58,497,13,750,33,497,130,426,2
"18267_hypothetical_protein",69,5,139,2,305,13,117,0,77,7,253,20,174,93,196,7,287,3
"18347_dinG_3",1068,1334,1500,378,1210,150,858,190,1206,226,746,2263,1111,72,2610,165,1502,792
"18415_ybjP",7785,104,4668,89,1979,53,8298,29,2944,161,2708,130,4147,4,2135,1,2481,15
"18482_ssuB",68,11,265,18,98,3,235,1,131,14,126,3,881,237,114,1,107,37
"18525_hypothetical_protein",315,9,242,13,167,4,244,12,166,23,275,42,224,4,253,3,102,28
"18596_mdoH",2077,833,2817,1922,3989,2126,4710,1662,3725,3302,2160,53,2549,9,6564,121,1701,1236
"18667_ycfZ",134,35,126,4,439,33,319,40,303,90,191,109,246,4,311,6,171,11
"18729_dauA",783,416,864,1111,1237,217,1037,38,1037,1476,1303,134,614,873,924,1717,517,28
"18782_hypothetical_protein",46,7,332,14,306,3,198,18,137,6,365,6,138,0,113,1,46,14
"18783_hypothetical_protein",138,2,654,7,737,0,207,4,87,0,1009,6,89,2,173,3,30,1
"18845_ugpC_2",107,6,93,1,64,7,31,5,47,5,25,15,22,2,25,1,505,4
"1884_zraR_1",733,17,740,17,326,23,187,9,301,46,362,6,399,1,279,6,401,42
"18903_ynbA",5,0,27,0,19,1,12,2,50,1,50,7,23,0,18,0,27,1
"18995_Peptidase_M16_inactive_domain_protein",910,39,2022,210,1415,18,1913,512,3155,491,1558,1762,2174,24,1222,26,141,45
"19083_recE",406,20,729,48,523,19,905,14,1572,145,819,85,1612,366,2964,13,1013,12
"229_galM_1",17311,268,24669,123,33054,116,19277,202,16661,754,13430,1442,11499,10,2482,27,13222,833
"2662_hypothetical_protein",1429,134,303,6,42,30,290,11,366,71,356,12,239,5,958,19,396,39
"2664_kpsF",28781,1497,49483,488,6371,627,22910,2269,3254,4572,84696,184,4385,33,9720,316,6847,3815
"2665_hypothetical_protein",7438,1606,13500,486,2337,540,5964,1922,1638,4988,13870,117,1981,26,7111,280,2014,3112
"2666_kpsD",5055,2605,6592,663,2020,765,10716,3095,3629,7547,11939,208,2595,25,6229,339,2317,4372
"2667_kpsU",4200,875,1655,166,586,228,3678,1169,1573,2025,5231,59,1215,8,1519,99,917,1150
"2668_Capsule_polysaccharide_biosynthesis_protein",6777,2868,5834,758,1945,1103,9597,4836,3902,9645,19318,272,6162,43,7670,501,6085,5929
"2669_Capsule_polysaccharide_biosynthesis_protein",2155,1054,1899,277,382,550,1363,1751,296,2391,6814,95,1200,14,1818,202,1392,1451
"2706_mtlK",76,34,55,23,157,9,34,10,140,283,138,11,167,9,57,8,185,20
"3881_hypothetical_protein",11,2,16,2,22,0,0,0,24,13,8,3,12,1,16,0,12,10
"3887_klcA_3",9,0,28,1,12,0,5,0,10,1,14,1,5,0,2,0,31,4
"3904_Prophage_CP4-57_regulatory_protein_-AlpA-",7,0,15,0,24,0,5,0,5,1,24,4,8,1,7,0,3,1
"417_Integrase_core_domain_protein",133,22,181,6,96,6,594,132,639,110,177,1,561,4,505,17,0,0
"4367_hypothetical_protein",51,34,261,37,187,40,216,149,181,227,161,6,216,9,102,2,218,85
"4499_hypothetical_protein",66,16,110,21,89,35,147,37,146,15,253,335,103,5,100,1,33,16
"4500_hypothetical_protein",216,10,187,24,163,17,362,49,295,24,569,622,180,5,309,3,49,11
"4512_dmlR_10",1638,57,1363,22,1361,28,1301,92,1060,98,1195,241,938,7,1136,16,983,124
